,Nflow
0,0.06455078125
1,0.06523828125
2,0.04300000000000003
3,0.06484765625
4,0.04950781250000001
5,0.0599140625
6,0.04298046875000002
7,0.049363281250000016
8,0.04478515625000001
9,0.06662890625000001
10,0.04352734375000002
11,0.05085546875
12,0.05600781250000001
13,0.04108593750000002
14,0.04556640625000001
15,0.04972265625000001
16,0.05828125000000001
17,0.054941406250000005
18,0.0868671875
19,0.043066406250000015
20,0.06068359375
21,0.04644921875000001
22,0.04574218750000002
23,0.083671875
24,0.07084765625
25,0.05125000000000001
26,0.04153906250000003
27,0.0672109375
28,0.044683593750000014
29,0.04062500000000002
