,Nflow
0,0.08637499999999998
1,0.059109375000000006
2,0.046710937500000015
3,0.04416406250000002
4,0.08998828125
5,0.04432421875000003
6,0.06648437500000001
7,0.08131640625
8,0.04494531250000003
9,0.04543750000000003
10,0.050640625000000015
11,0.04940625000000001
12,0.10232421874999999
13,0.10055468749999999
14,0.045976562500000026
15,0.07400390625
16,0.06355468750000001
17,0.047609375000000016
18,0.05118750000000001
19,0.0752890625
20,0.07957812500000001
21,0.09512109375
22,0.04585937500000002
23,0.07484765625
24,0.05007421875000001
25,0.04938671875000002
26,0.06970703125
27,0.08305859374999999
28,0.04878515625000002
29,0.069359375
