,Nflow,B,N
0,0.0665546875,10000,1
1,0.04503906250000002,10000,1
2,0.070265625,10000,1
3,0.04030078125000002,10000,1
4,0.04358593750000002,10000,1
5,0.042429687500000035,10000,1
6,0.0685234375,10000,1
7,0.05004687500000002,10000,1
8,0.04573046875000002,10000,1
9,0.0615703125,10000,1
10,0.09044140625,10000,1
11,0.07365234375,10000,1
12,0.090140625,10000,1
13,0.068265625,10000,1
14,0.05278125000000001,10000,1
15,0.06768750000000001,10000,1
16,0.08574609374999999,10000,1
17,0.0638515625,10000,1
18,0.04319921875000002,10000,1
19,0.09958984375,10000,1
20,0.06611328125,10000,1
21,0.08613281249999999,10000,1
22,0.06601953125,10000,1
23,0.07383203125,10000,1
24,0.07149609374999999,10000,1
25,0.06442968750000001,10000,1
26,0.041652343750000015,10000,1
27,0.05748828125,10000,1
28,0.0674921875,10000,1
29,0.06746093749999998,10000,1
0,0.05055859375000001,15000,1
1,0.042964843750000016,15000,1
2,0.08957812499999998,15000,1
3,0.05222265625,15000,1
4,0.048226562500000014,15000,1
5,0.053992187500000004,15000,1
6,0.08958203124999999,15000,1
7,0.071625,15000,1
8,0.0831953125,15000,1
9,0.09494921874999998,15000,1
10,0.07523046874999999,15000,1
11,0.05085546875000001,15000,1
12,0.069765625,15000,1
13,0.05562109375000001,15000,1
14,0.04094140625000002,15000,1
15,0.04583984375000002,15000,1
16,0.0975703125,15000,1
17,0.06126171875,15000,1
18,0.048851562500000015,15000,1
19,0.05692187500000001,15000,1
20,0.044437500000000026,15000,1
21,0.054855468750000004,15000,1
22,0.08558593749999999,15000,1
23,0.05014843750000001,15000,1
24,0.043429687500000036,15000,1
25,0.0695859375,15000,1
26,0.05516796875,15000,1
27,0.08169921874999998,15000,1
28,0.068578125,15000,1
29,0.043843750000000015,15000,1
0,0.050117187500000014,20000,1
1,0.07424609374999999,20000,1
2,0.05138671875000001,20000,1
3,0.04561718750000002,20000,1
4,0.0611640625,20000,1
5,0.04173046875000001,20000,1
6,0.05234765625000001,20000,1
7,0.04176562500000003,20000,1
8,0.044070312500000014,20000,1
9,0.04499609375000001,20000,1
10,0.042234375000000025,20000,1
11,0.04315625000000003,20000,1
12,0.048964843750000014,20000,1
13,0.07888671874999999,20000,1
14,0.04656640625000002,20000,1
15,0.043242187500000015,20000,1
16,0.05433203125,20000,1
17,0.046265625000000025,20000,1
18,0.045347656250000035,20000,1
19,0.06884375000000001,20000,1
20,0.04398828125000002,20000,1
21,0.056437500000000015,20000,1
22,0.0578828125,20000,1
23,0.04166796875000001,20000,1
24,0.04212890625000003,20000,1
25,0.0592890625,20000,1
26,0.07405078124999999,20000,1
27,0.042164062500000016,20000,1
28,0.04939843750000002,20000,1
29,0.05278125,20000,1
0,0.07294531249999998,30000,1
1,0.08592578125,30000,1
2,0.05419531250000001,30000,1
3,0.07075390624999998,30000,1
4,0.0644296875,30000,1
5,0.11076171874999999,30000,1
6,0.04601562500000002,30000,1
7,0.06122656250000001,30000,1
8,0.09950390625,30000,1
9,0.04495312500000004,30000,1
10,0.06352734375000002,30000,1
11,0.11049609375,30000,1
12,0.06380859375000002,30000,1
13,0.040570312500000025,30000,1
14,0.0930703125,30000,1
15,0.08584375,30000,1
16,0.07317578124999999,30000,1
17,0.04221484375000003,30000,1
18,0.07385546874999999,30000,1
19,0.04857421875,30000,1
20,0.04355468750000001,30000,1
21,0.040539062500000014,30000,1
22,0.08812109374999999,30000,1
23,0.05053906250000001,30000,1
24,0.045433593750000015,30000,1
25,0.04444140625000004,30000,1
26,0.04737109375000001,30000,1
27,0.045187500000000005,30000,1
28,0.06607421875,30000,1
29,0.05067578125000001,30000,1
0,0.05035546875000003,10000,5
1,0.07578515625000001,10000,5
2,0.0597421875,10000,5
3,0.07000390625,10000,5
4,0.054492187500000004,10000,5
5,0.04688281250000002,10000,5
6,0.07791796875,10000,5
7,0.04844921875000003,10000,5
8,0.047785156250000016,10000,5
9,0.05369921875000001,10000,5
10,0.11363671874999998,10000,5
11,0.08644140624999999,10000,5
12,0.05377343750000001,10000,5
13,0.06059765625000001,10000,5
14,0.04700390625000002,10000,5
15,0.07148046875,10000,5
16,0.045824218750000034,10000,5
17,0.05343359375000001,10000,5
18,0.08861328125,10000,5
19,0.05475390625000001,10000,5
20,0.05301953125000001,10000,5
21,0.04294921875000003,10000,5
22,0.07270703125000001,10000,5
23,0.07019140625,10000,5
24,0.05026953125000001,10000,5
25,0.08023828125,10000,5
26,0.05820703125000001,10000,5
27,0.061828125000000005,10000,5
28,0.05255078125000001,10000,5
29,0.04623828125000003,10000,5
0,0.07173437499999999,15000,5
1,0.04371093750000002,15000,5
2,0.0660390625,15000,5
3,0.04429687500000002,15000,5
4,0.05364843750000001,15000,5
5,0.04592968750000002,15000,5
6,0.05194531250000001,15000,5
7,0.057054687500000006,15000,5
8,0.04628515625000002,15000,5
9,0.10330468749999999,15000,5
10,0.09942578125,15000,5
11,0.05387890625000001,15000,5
12,0.071578125,15000,5
13,0.06586328125,15000,5
14,0.0786328125,15000,5
15,0.06304296875,15000,5
16,0.053984375,15000,5
17,0.062402343750000006,15000,5
18,0.04643750000000002,15000,5
19,0.04745703125000003,15000,5
20,0.05366406250000001,15000,5
21,0.05049218750000001,15000,5
22,0.04508593750000002,15000,5
23,0.10278515624999998,15000,5
24,0.056593750000000005,15000,5
25,0.05781640625000001,15000,5
26,0.04784375000000002,15000,5
27,0.0586015625,15000,5
28,0.1038515625,15000,5
29,0.04739062500000002,15000,5
0,0.04678906250000001,20000,5
1,0.05230468750000002,20000,5
2,0.04550781250000002,20000,5
3,0.05719140625000001,20000,5
4,0.06865625,20000,5
5,0.07719921874999999,20000,5
6,0.05187890625000001,20000,5
7,0.048769531250000026,20000,5
8,0.04920703125000002,20000,5
9,0.04538281250000002,20000,5
10,0.06191406250000001,20000,5
11,0.081625,20000,5
12,0.06257421875000001,20000,5
13,0.0824921875,20000,5
14,0.04929687500000001,20000,5
15,0.047437500000000014,20000,5
16,0.07191015625000001,20000,5
17,0.04593750000000002,20000,5
18,0.0673125,20000,5
19,0.04652734375000002,20000,5
20,0.08528124999999999,20000,5
21,0.05046875000000001,20000,5
22,0.04692578125000002,20000,5
23,0.067125,20000,5
24,0.047546875,20000,5
25,0.07373046875,20000,5
26,0.06016015625,20000,5
27,0.048605468750000026,20000,5
28,0.06581640625,20000,5
29,0.09884374999999998,20000,5
0,0.04647656250000001,30000,5
1,0.049765625000000015,30000,5
2,0.07821484374999998,30000,5
3,0.050351562500000016,30000,5
4,0.060886718750000006,30000,5
5,0.09485546874999999,30000,5
6,0.07000390625,30000,5
7,0.0686796875,30000,5
8,0.07425781249999999,30000,5
9,0.04694921875000002,30000,5
10,0.0690625,30000,5
11,0.06473437500000001,30000,5
12,0.04674218750000002,30000,5
13,0.05277734375000002,30000,5
14,0.062011718750000014,30000,5
15,0.07803125000000001,30000,5
16,0.06819140625,30000,5
17,0.056406250000000005,30000,5
18,0.04688281250000001,30000,5
19,0.047273437500000015,30000,5
20,0.04257812500000002,30000,5
21,0.053972656250000015,30000,5
22,0.07419921875,30000,5
23,0.09153125,30000,5
24,0.042410156250000025,30000,5
25,0.04674609375000001,30000,5
26,0.06128125000000001,30000,5
27,0.05327343750000001,30000,5
28,0.04928906250000001,30000,5
29,0.04764062500000002,30000,5
0,0.05903515625000001,10000,10
1,0.04305468750000002,10000,10
2,0.07400781249999999,10000,10
3,0.05842578125000002,10000,10
4,0.04815234375000002,10000,10
5,0.05222265625000001,10000,10
6,0.14132421874999998,10000,10
7,0.07007031250000002,10000,10
8,0.05772265625000002,10000,10
9,0.06844921875000001,10000,10
10,0.0802109375,10000,10
11,0.04808593750000001,10000,10
12,0.07615234375,10000,10
13,0.07480078125,10000,10
14,0.04465234375000002,10000,10
15,0.06293750000000001,10000,10
16,0.05482031250000001,10000,10
17,0.047562500000000014,10000,10
18,0.050699218750000025,10000,10
19,0.044738281250000025,10000,10
20,0.044417968750000036,10000,10
21,0.04998828125000001,10000,10
22,0.10112499999999999,10000,10
23,0.04821875000000001,10000,10
24,0.0978125,10000,10
25,0.05051953125000001,10000,10
26,0.11073046874999999,10000,10
27,0.11746093749999997,10000,10
28,0.045832031250000016,10000,10
29,0.047375000000000014,10000,10
0,0.07464453125,15000,10
1,0.05047265625000001,15000,10
2,0.09387890624999999,15000,10
3,0.052437500000000005,15000,10
4,0.06983203125000001,15000,10
5,0.04717187500000003,15000,10
6,0.042796875000000026,15000,10
7,0.0756015625,15000,10
8,0.061968749999999996,15000,10
9,0.05849218750000001,15000,10
10,0.04515234375000003,15000,10
11,0.07625390625,15000,10
12,0.04882031250000002,15000,10
13,0.12196874999999999,15000,10
14,0.07574609375,15000,10
15,0.086359375,15000,10
16,0.04518359375000003,15000,10
17,0.070328125,15000,10
18,0.05387500000000001,15000,10
19,0.07921875,15000,10
20,0.06038281250000001,15000,10
21,0.06099218750000001,15000,10
22,0.0575390625,15000,10
23,0.05908203125,15000,10
24,0.04907031250000001,15000,10
25,0.04507031250000003,15000,10
26,0.043527343750000023,15000,10
27,0.06703125000000001,15000,10
28,0.0697421875,15000,10
29,0.1033359375,15000,10
0,0.04526562500000002,20000,10
1,0.046449218750000035,20000,10
2,0.04395312500000002,20000,10
3,0.05054687500000001,20000,10
4,0.08841796874999999,20000,10
5,0.07269921875,20000,10
6,0.04369140625000002,20000,10
7,0.05898828125000001,20000,10
8,0.043601562500000024,20000,10
9,0.07117187500000002,20000,10
10,0.04585156250000001,20000,10
11,0.04587500000000003,20000,10
12,0.05004687500000001,20000,10
13,0.048652343750000014,20000,10
14,0.06189453125,20000,10
15,0.046136718750000014,20000,10
16,0.04611718750000004,20000,10
17,0.04537109375000003,20000,10
18,0.04507812500000002,20000,10
19,0.10574999999999998,20000,10
20,0.04730078125000002,20000,10
21,0.07231640625,20000,10
22,0.0736328125,20000,10
23,0.08448046874999998,20000,10
24,0.05333203125000001,20000,10
25,0.09264453125,20000,10
26,0.04959375000000002,20000,10
27,0.05338281250000001,20000,10
28,0.051566406250000016,20000,10
29,0.10658203124999999,20000,10
0,0.08637499999999998,30000,10
1,0.059109375000000006,30000,10
2,0.046710937500000015,30000,10
3,0.04416406250000002,30000,10
4,0.08998828125,30000,10
5,0.04432421875000003,30000,10
6,0.06648437500000001,30000,10
7,0.08131640625,30000,10
8,0.04494531250000003,30000,10
9,0.04543750000000003,30000,10
10,0.050640625000000015,30000,10
11,0.04940625000000001,30000,10
12,0.10232421874999999,30000,10
13,0.10055468749999999,30000,10
14,0.045976562500000026,30000,10
15,0.07400390625,30000,10
16,0.06355468750000001,30000,10
17,0.047609375000000016,30000,10
18,0.05118750000000001,30000,10
19,0.0752890625,30000,10
20,0.07957812500000001,30000,10
21,0.09512109375,30000,10
22,0.04585937500000002,30000,10
23,0.07484765625,30000,10
24,0.05007421875000001,30000,10
25,0.04938671875000002,30000,10
26,0.06970703125,30000,10
27,0.08305859374999999,30000,10
28,0.04878515625000002,30000,10
29,0.069359375,30000,10
0,0.04781250000000003,10000,20
1,0.04771093750000003,10000,20
2,0.09426171875,10000,20
3,0.06756250000000003,10000,20
4,0.07384375000000001,10000,20
5,0.13009375,10000,20
6,0.05578125000000002,10000,20
7,0.053808593750000015,10000,20
8,0.07169531250000001,10000,20
9,0.04817968750000004,10000,20
10,0.05754687500000002,10000,20
11,0.05713671875000002,10000,20
12,0.048984375000000024,10000,20
13,0.06566015625,10000,20
14,0.08696484375,10000,20
15,0.05895703125000002,10000,20
16,0.06712890625000002,10000,20
17,0.04954296875000003,10000,20
18,0.08443359375000001,10000,20
19,0.05538281250000003,10000,20
20,0.058500000000000024,10000,20
21,0.07454687500000001,10000,20
22,0.07312890625000001,10000,20
23,0.045828125000000025,10000,20
24,0.06478906250000001,10000,20
25,0.04531250000000002,10000,20
26,0.11955859375,10000,20
27,0.04709765625000003,10000,20
28,0.05211718750000002,10000,20
29,0.058328125000000015,10000,20
0,0.10042187500000001,15000,20
1,0.05148046875000002,15000,20
2,0.07762890625000002,15000,20
3,0.04735937500000002,15000,20
4,0.07336718750000001,15000,20
5,0.07232421875,15000,20
6,0.054945312500000024,15000,20
7,0.05900390625000002,15000,20
8,0.06226953125000002,15000,20
9,0.05161718750000003,15000,20
10,0.07994921875000002,15000,20
11,0.05576953125000002,15000,20
12,0.07436718750000001,15000,20
13,0.055433593750000024,15000,20
14,0.07274609375000002,15000,20
15,0.0931875,15000,20
16,0.06925781250000002,15000,20
17,0.046089843750000026,15000,20
18,0.1206640625,15000,20
19,0.04883593750000003,15000,20
20,0.04942968750000003,15000,20
21,0.04782812500000003,15000,20
22,0.04797265625000004,15000,20
23,0.07446093750000002,15000,20
24,0.04882421875000002,15000,20
25,0.09367187500000002,15000,20
26,0.06146875000000002,15000,20
27,0.07145703125000002,15000,20
28,0.06986328125000002,15000,20
29,0.08363671875,15000,20
0,0.05180468750000003,20000,20
1,0.054496093750000016,20000,20
2,0.05005859375000003,20000,20
3,0.060339843750000025,20000,20
4,0.04818359375000003,20000,20
5,0.054105468750000024,20000,20
6,0.04654687500000003,20000,20
7,0.083640625,20000,20
8,0.06257812500000001,20000,20
9,0.05760937500000002,20000,20
10,0.07437109375,20000,20
11,0.08476562500000001,20000,20
12,0.08982421875,20000,20
13,0.07266796875,20000,20
14,0.05008203125000002,20000,20
15,0.07233984375000002,20000,20
16,0.05042968750000003,20000,20
17,0.06313671875000001,20000,20
18,0.04875390625000002,20000,20
19,0.05733984375000002,20000,20
20,0.06841796875000002,20000,20
21,0.06932421875000003,20000,20
22,0.07744921875000002,20000,20
23,0.046375000000000034,20000,20
24,0.04551171875000003,20000,20
25,0.05932812500000002,20000,20
26,0.1038828125,20000,20
27,0.07639062500000002,20000,20
28,0.09075390625000002,20000,20
29,0.11252343749999999,20000,20
0,0.077015625,30000,20
1,0.09356640625,30000,20
2,0.07516015625,30000,20
3,0.05688671875000002,30000,20
4,0.05946875000000002,30000,20
5,0.054714843750000026,30000,20
6,0.0981796875,30000,20
7,0.08746484375000002,30000,20
8,0.045238281250000026,30000,20
9,0.046750000000000035,30000,20
10,0.08394531250000001,30000,20
11,0.05588281250000002,30000,20
12,0.07639062500000002,30000,20
13,0.07405859375000001,30000,20
14,0.07236328125000002,30000,20
15,0.09042968750000001,30000,20
16,0.09711328125000002,30000,20
17,0.08049609375,30000,20
18,0.06321093750000002,30000,20
19,0.052921875000000014,30000,20
20,0.09253515625000003,30000,20
21,0.11326562499999998,30000,20
22,0.045738281250000026,30000,20
23,0.05855468750000002,30000,20
24,0.04622265625000002,30000,20
25,0.05258593750000001,30000,20
26,0.06289843750000003,30000,20
27,0.08314453125,30000,20
28,0.04810937500000003,30000,20
29,0.06676953125000001,30000,20
