,Nflow,B,N
0,0.0919453125,10000,1
1,0.08140234375,10000,1
2,0.066,10000,1
3,0.06648046875000001,10000,1
4,0.0626640625,10000,1
5,0.07955078125,10000,1
6,0.07834765625000001,10000,1
7,0.05756640624999999,10000,1
8,0.07040234375,10000,1
9,0.10315625,10000,1
10,0.08396484375,10000,1
11,0.099265625,10000,1
12,0.07789453125,10000,1
13,0.05870703125,10000,1
14,0.07828515624999999,10000,1
15,0.06725390624999998,10000,1
16,0.06467187499999999,10000,1
17,0.08514843750000001,10000,1
18,0.0860546875,10000,1
19,0.07852734374999999,10000,1
20,0.08144921875000001,10000,1
21,0.07202734375000001,10000,1
22,0.07212890625000001,10000,1
23,0.0667734375,10000,1
24,0.0851171875,10000,1
25,0.0749453125,10000,1
26,0.079390625,10000,1
27,0.06271093750000001,10000,1
28,0.08725390624999999,10000,1
29,0.08737109375,10000,1
0,0.10648437500000002,15000,1
1,0.067265625,15000,1
2,0.06087500000000001,15000,1
3,0.0857421875,15000,1
4,0.06221484375,15000,1
5,0.08420312499999999,15000,1
6,0.09498437500000001,15000,1
7,0.0736484375,15000,1
8,0.07908984375,15000,1
9,0.08788671874999998,15000,1
10,0.06670703124999999,15000,1
11,0.0699609375,15000,1
12,0.064359375,15000,1
13,0.06364453125,15000,1
14,0.06487890625,15000,1
15,0.07398828125000001,15000,1
16,0.06751953124999999,15000,1
17,0.06721484375,15000,1
18,0.07441015625,15000,1
19,0.08440234375,15000,1
20,0.096046875,15000,1
21,0.07390624999999999,15000,1
22,0.09635546874999998,15000,1
23,0.0793671875,15000,1
24,0.08754296875,15000,1
25,0.07657421874999999,15000,1
26,0.0841640625,15000,1
27,0.0689296875,15000,1
28,0.07148046875,15000,1
29,0.07153124999999999,15000,1
0,0.0805625,20000,1
1,0.07250390625,20000,1
2,0.07817968750000001,20000,1
3,0.08405859375,20000,1
4,0.07456640625,20000,1
5,0.0885703125,20000,1
6,0.07941015625,20000,1
7,0.11155078124999998,20000,1
8,0.09492578125,20000,1
9,0.06953515624999998,20000,1
10,0.06766015624999999,20000,1
11,0.07475390624999999,20000,1
12,0.08484765625000001,20000,1
13,0.07663671875,20000,1
14,0.0762109375,20000,1
15,0.08009374999999999,20000,1
16,0.06401171874999999,20000,1
17,0.05326562500000001,20000,1
18,0.08477343749999999,20000,1
19,0.061257812499999995,20000,1
20,0.055874999999999994,20000,1
21,0.07145312499999999,20000,1
22,0.07873046874999999,20000,1
23,0.08894140625,20000,1
24,0.08373828124999999,20000,1
25,0.07425781249999999,20000,1
26,0.07542187500000001,20000,1
27,0.08574609375,20000,1
28,0.06947656249999999,20000,1
29,0.07507031249999999,20000,1
0,0.07211718750000001,30000,1
1,0.0699453125,30000,1
2,0.09034374999999997,30000,1
3,0.0898359375,30000,1
4,0.08606249999999999,30000,1
5,0.07748828125000001,30000,1
6,0.07767578124999999,30000,1
7,0.06228515625,30000,1
8,0.06969921875000001,30000,1
9,0.09092578124999999,30000,1
10,0.0903046875,30000,1
11,0.08097265625,30000,1
12,0.0857734375,30000,1
13,0.07369921874999999,30000,1
14,0.09125390625,30000,1
15,0.0657578125,30000,1
16,0.10443359375,30000,1
17,0.08567187499999998,30000,1
18,0.07855078125,30000,1
