,Nflow
0,0.07789256198347112
1,0.05743801652892567
2,0.07231404958677692
3,0.07975206611570253
4,0.06301652892561987
5,0.05371900826446285
6,0.057438016528925655
7,0.07975206611570253
8,0.057438016528925655
9,0.07975206611570253
10,0.06115702479338848
11,0.05743801652892567
12,0.05929752066115707
13,0.06487603305785128
14,0.05743801652892567
15,0.05557851239669426
16,0.05557851239669426
17,0.05557851239669426
18,0.0667355371900827
19,0.08347107438016534
20,0.0760330578512397
21,0.05743801652892567
22,0.08719008264462813
23,0.06301652892561987
24,0.05557851239669426
25,0.06487603305785128
26,0.06673553719008268
27,0.05371900826446285
28,0.08347107438016534
29,0.05743801652892567
