,Nflow
0,0.12966115702479342
1,0.10416115702479342
2,0.049657024793388474
3,0.051053719008264505
4,0.05207438016528929
5,0.10735950413223144
6,0.049446280991735585
7,0.0511239669421488
8,0.10183884297520662
9,0.048909090909090944
10,0.07255785123966946
11,0.05377272727272731
12,0.06969421487603308
13,0.04921900826446284
14,0.09697520661157026
15,0.06216115702479342
16,0.07066115702479342
17,0.07897520661157029
18,0.05029752066115707
19,0.05307024793388433
20,0.06637603305785128
21,0.0563429752066116
22,0.04916528925619839
23,0.06777685950413226
24,0.04959090909090913
25,0.04982231404958682
26,0.05028099173553723
27,0.06091322314049591
28,0.056809917355371935
29,0.0715826446280992
