,Nflow
0,0.044946280991735546
1,0.04525206611570251
2,0.03897520661157026
3,0.04538842975206613
4,0.05010743801652894
5,0.05132644628099175
6,0.034809917355371915
7,0.05187190082644631
8,0.04956611570247935
9,0.04388016528925623
10,0.04792148760330582
11,0.047694214876033085
12,0.043776859504132244
13,0.04416528925619837
14,0.04180578512396697
15,0.042859504132231434
16,0.041020661157024824
17,0.039545454545454564
18,0.05034710743801655
19,0.0519214876033058
20,0.04532644628099176
21,0.047694214876033085
22,0.043776859504132244
23,0.04416528925619837
24,0.04180578512396697
25,0.042859504132231434
26,0.041020661157024824
27,0.039545454545454564
28,0.05034710743801655
29,0.0519214876033058
