,Nflow
0,0.06041216000000004
1,0.12768
2,0.048846080000000035
3,0.04988288000000004
4,0.11923840000000002
5,0.07099456000000003
6,0.052606720000000044
7,0.05662464000000004
8,0.056791680000000025
9,0.10199808
10,0.05266048000000004
11,0.08044416000000003
12,0.05658880000000003
13,0.06175488000000003
14,0.05359488000000004
15,0.04988288000000004
16,0.11923840000000002
17,0.07099456000000003
18,0.052606720000000044
19,0.05662464000000004
20,0.056791680000000025
21,0.10199808
22,0.05266048000000004
23,0.08044416000000003
24,0.05658880000000003
25,0.06175488000000003
26,0.05359488000000004
27,0.04988288000000004
28,0.11923840000000002
29,0.07099456000000003
