,Nflow
0,0.03997631999999999
1,0.03537344000000002
2,0.03603520000000001
3,0.04987071999999998
4,0.041581440000000004
5,0.042049919999999984
6,0.05091967999999999
7,0.034910720000000006
8,0.03987711999999999
9,0.03754048000000002
10,0.037104639999999994
11,0.03615552000000002
12,0.03777152000000002
13,0.06215807999999997
14,0.04314496000000003
15,0.039178880000000006
16,0.03698112000000001
17,0.04729983999999999
18,0.043456000000000015
19,0.035262079999999994
20,0.053484159999999996
21,0.03931648000000001
22,0.058089599999999984
23,0.042791039999999995
24,0.044334719999999994
25,0.06492095999999997
26,0.04748031999999999
27,0.04661952000000002
28,0.04223296
29,0.039255040000000005
