,Nflow
0,0.02647999999999998
1,0.022025000000000003
2,0.02141999999999999
3,0.023444999999999983
4,0.02316999999999999
5,0.024029999999999996
6,0.025535000000000016
7,0.019869999999999995
8,0.02459999999999999
9,0.033024999999999964
10,0.02550000000000001
11,0.022544999999999996
12,0.021024999999999995
13,0.025709999999999966
14,0.024815000000000014
15,0.02821999999999999
16,0.022834999999999984
17,0.02360999999999999
18,0.021734999999999994
19,0.024929999999999994
20,0.025694999999999996
21,0.02203499999999998
22,0.02144499999999999
23,0.030064999999999963
24,0.027794999999999973
25,0.02226499999999998
26,0.022519999999999984
27,0.027524999999999987
28,0.022064999999999987
29,0.024984999999999976
