,Nflow
0,0.020074999999999982
1,0.018564999999999984
2,0.018125
3,0.018104999999999993
4,0.01844
5,0.017069999999999995
6,0.01616999999999999
7,0.017299999999999986
8,0.018890000000000004
9,0.017119999999999996
10,0.018615000000000003
11,0.01705499999999999
12,0.01739499999999998
13,0.017239999999999985
14,0.020824999999999972
15,0.017894999999999998
16,0.017144999999999994
17,0.01736499999999999
18,0.017619999999999997
19,0.018944999999999976
20,0.018264999999999983
21,0.017524999999999985
22,0.017119999999999996
23,0.018615000000000003
24,0.01705499999999999
25,0.01739499999999998
26,0.017239999999999985
27,0.020824999999999972
28,0.017894999999999998
29,0.017144999999999994
