,Nflow
0,0.01737333333333331
1,0.017653333333333344
2,0.019406666666666676
3,0.01787333333333334
4,0.015913333333333335
5,0.017993333333333337
6,0.01501333333333332
7,0.014226666666666669
8,0.01985999999999996
9,0.026053333333333283
10,0.023126666666666622
11,0.01982666666666668
12,0.015906666666666645
13,0.015139999999999997
14,0.013539999999999998
15,0.015546666666666651
16,0.01646666666666667
17,0.016546666666666633
18,0.01631999999999998
19,0.014673333333333337
20,0.013379999999999998
21,0.01854000000000001
22,0.01629999999999998
23,0.014799999999999992
24,0.018546666666666635
25,0.017086666666666674
26,0.016120000000000002
27,0.021973333333333293
28,0.01756666666666668
29,0.013886666666666653
