,Nflow
0,0.014659999999999975
1,0.02099333333333335
2,0.013846666666666667
3,0.015919999999999983
4,0.01948666666666668
5,0.016780000000000003
6,0.012526666666666663
7,0.017386666666666672
8,0.01447333333333333
9,0.02379333333333329
10,0.022193333333333343
11,0.014626666666666649
12,0.015886666666666643
13,0.033653333333333285
14,0.017239999999999974
15,0.013999999999999986
16,0.030653333333333355
17,0.014906666666666657
18,0.013986666666666663
19,0.024379999999999957
20,0.015360000000000002
21,0.013073333333333326
22,0.031093333333333285
23,0.018093333333333312
24,0.019713333333333347
25,0.01223999999999999
26,0.01805333333333331
27,0.012759999999999988
28,0.026366666666666688
29,0.02488666666666669
