,Nflow,B,N
0,0.036613333333333324,10000,1
1,0.034539999999999994,10000,1
2,0.031046666666666674,10000,1
3,0.033479999999999996,10000,1
4,0.03309333333333332,10000,1
5,0.037173333333333315,10000,1
6,0.03150666666666666,10000,1
7,0.03134000000000001,10000,1
8,0.03185333333333334,10000,1
9,0.03082666666666667,10000,1
10,0.03327333333333334,10000,1
11,0.03166666666666667,10000,1
12,0.034233333333333345,10000,1
13,0.034679999999999996,10000,1
14,0.03431999999999999,10000,1
15,0.03699333333333331,10000,1
16,0.03107333333333333,10000,1
17,0.03389999999999999,10000,1
18,0.03272,10000,1
19,0.03741333333333331,10000,1
20,0.033133333333333334,10000,1
21,0.033153333333333326,10000,1
22,0.033806666666666665,10000,1
23,0.032366666666666655,10000,1
24,0.04361333333333331,10000,1
25,0.03375999999999999,10000,1
26,0.034033333333333325,10000,1
27,0.030566666666666662,10000,1
28,0.057913333333333296,10000,1
29,0.035413333333333304,10000,1
0,0.04849333333333329,15000,1
1,0.03589333333333331,15000,1
2,0.04431333333333329,15000,1
3,0.06388666666666663,15000,1
4,0.034306666666666645,15000,1
5,0.03576666666666666,15000,1
6,0.033326666666666664,15000,1
7,0.046666666666666634,15000,1
8,0.03438666666666665,15000,1
9,0.04891999999999997,15000,1
10,0.03799333333333331,15000,1
11,0.032499999999999994,15000,1
12,0.036553333333333306,15000,1
13,0.030739999999999993,15000,1
14,0.034033333333333325,15000,1
15,0.03821999999999998,15000,1
16,0.030893333333333342,15000,1
17,0.031066666666666663,15000,1
18,0.03697333333333333,15000,1
19,0.07174666666666663,15000,1
20,0.03187333333333334,15000,1
21,0.05191333333333329,15000,1
22,0.09427999999999995,15000,1
23,0.05001333333333329,15000,1
24,0.03238666666666667,15000,1
25,0.03125333333333333,15000,1
26,0.03058,15000,1
27,0.05413999999999996,15000,1
28,0.04735333333333328,15000,1
29,0.04478666666666663,15000,1
0,0.03489999999999999,20000,1
1,0.033519999999999994,20000,1
2,0.032299999999999995,20000,1
3,0.039599999999999975,20000,1
4,0.03312,20000,1
5,0.03281999999999999,20000,1
6,0.034086666666666654,20000,1
7,0.03204666666666667,20000,1
8,0.03922666666666663,20000,1
9,0.03247333333333333,20000,1
10,0.03198666666666667,20000,1
11,0.039959999999999975,20000,1
12,0.03575999999999998,20000,1
13,0.03517333333333331,20000,1
14,0.03329333333333334,20000,1
15,0.03353333333333333,20000,1
16,0.05609333333333329,20000,1
17,0.035959999999999985,20000,1
18,0.08330666666666663,20000,1
19,0.04667999999999996,20000,1
20,0.03680666666666665,20000,1
21,0.03568666666666665,20000,1
22,0.03136666666666666,20000,1
23,0.032339999999999994,20000,1
24,0.03365999999999998,20000,1
25,0.03184666666666666,20000,1
26,0.03323333333333333,20000,1
27,0.030866666666666667,20000,1
28,0.03344,20000,1
29,0.03578666666666663,20000,1
0,0.037326666666666654,30000,1
1,0.030393333333333324,30000,1
2,0.037433333333333325,30000,1
3,0.04275999999999997,30000,1
4,0.03481999999999998,30000,1
5,0.030646666666666676,30000,1
6,0.03297999999999998,30000,1
7,0.03469333333333332,30000,1
8,0.03638666666666665,30000,1
9,0.03406666666666666,30000,1
10,0.03893999999999997,30000,1
11,0.05877999999999995,30000,1
12,0.03127333333333335,30000,1
13,0.04533999999999996,30000,1
14,0.03290666666666667,30000,1
15,0.033366666666666656,30000,1
16,0.030153333333333338,30000,1
17,0.032146666666666664,30000,1
18,0.030813333333333328,30000,1
19,0.03391999999999999,30000,1
20,0.03078,30000,1
21,0.036779999999999986,30000,1
22,0.03657333333333333,30000,1
23,0.041553333333333296,30000,1
24,0.035893333333333305,30000,1
25,0.03601333333333334,30000,1
26,0.03635333333333332,30000,1
27,0.0375133333333333,30000,1
28,0.03278666666666665,30000,1
29,0.034099999999999984,30000,1
0,0.02389333333333331,10000,5
1,0.024986666666666654,10000,5
2,0.023499999999999986,10000,5
3,0.028513333333333304,10000,5
4,0.02403999999999999,10000,5
5,0.029413333333333333,10000,5
6,0.023219999999999987,10000,5
7,0.028466666666666657,10000,5
8,0.04313333333333328,10000,5
9,0.026653333333333334,10000,5
10,0.025759999999999998,10000,5
11,0.022966666666666663,10000,5
12,0.02851999999999999,10000,5
13,0.023453333333333316,10000,5
14,0.038673333333333365,10000,5
15,0.027033333333333343,10000,5
16,0.028066666666666636,10000,5
17,0.02831333333333331,10000,5
18,0.03068666666666669,10000,5
19,0.029299999999999986,10000,5
20,0.025593333333333326,10000,5
21,0.027700000000000006,10000,5
22,0.02768,10000,5
23,0.027873333333333316,10000,5
24,0.0265,10000,5
25,0.02811999999999999,10000,5
26,0.02202666666666665,10000,5
27,0.02715333333333335,10000,5
28,0.027360000000000006,10000,5
29,0.025780000000000004,10000,5
0,0.03166666666666662,15000,5
1,0.035373333333333284,15000,5
2,0.024366666666666644,15000,5
3,0.02657999999999997,15000,5
4,0.024899999999999967,15000,5
5,0.026193333333333322,15000,5
6,0.024966666666666644,15000,5
7,0.026253333333333313,15000,5
8,0.024540000000000003,15000,5
9,0.026506666666666668,15000,5
10,0.027313333333333318,15000,5
11,0.030306666666666628,15000,5
12,0.02746,15000,5
13,0.0299133333333333,15000,5
14,0.024386666666666633,15000,5
15,0.026833333333333334,15000,5
16,0.025059999999999985,15000,5
17,0.026113333333333343,15000,5
18,0.028513333333333328,15000,5
19,0.04805999999999995,15000,5
