,Nflow
0,0.038526666666666654
1,0.03740666666666666
2,0.03729333333333332
3,0.032779999999999976
4,0.02447999999999999
5,0.03346
6,0.04090666666666666
7,0.03725999999999999
8,0.03505999999999999
9,0.035746666666666656
10,0.034573333333333324
11,0.020013333333333314
12,0.038879999999999984
13,0.037619999999999994
14,0.03825333333333332
15,0.016719999999999978
16,0.03501999999999999
17,0.038119999999999994
18,0.023213333333333325
19,0.016933333333333314
20,0.035719999999999995
21,0.038119999999999994
22,0.039506666666666655
23,0.03779999999999999
24,0.03032666666666665
25,0.03741999999999999
26,0.017726666666666654
27,0.03987333333333332
28,0.021279999999999983
29,0.03626
