,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.07905599999999896,0.0009904731956703909,36.5
1,LOFOREST,1,1000,0.08626933333333196,0.0008480702550290124,36.5
2,tuned LOFOREST,1,1000,0.08335999999999924,0.0007971758092464195,36.5
3,boosting,1,1000,0.0633626666666663,0.0025024970850416077,36.5
4,monte-carlo,1,1000,0.04894133333333349,2.0477647755862272e-05,36.5
5,LOCART,1,5000,0.0513586666666666,0.0006177281685916455,56.833333333333336
6,LOFOREST,1,5000,0.05430399999999999,0.00045806076431239776,56.833333333333336
7,tuned LOFOREST,1,5000,0.0477200000000001,0.0003849858932587314,56.833333333333336
8,boosting,1,5000,0.07155466666666642,0.0015642653970773784,56.833333333333336
9,monte-carlo,1,5000,0.14401866666666668,0.0007914638912133977,56.833333333333336
10,LOCART,1,10000,0.05032133333333348,0.0007205280058013313,56.833333333333336
11,LOFOREST,1,10000,0.037937333333333385,0.0003319847469350531,56.833333333333336
12,tuned LOFOREST,1,10000,0.03701866666666668,0.00039680311370409875,56.833333333333336
13,boosting,1,10000,0.07659733333333289,0.0008676157934460083,56.833333333333336
14,monte-carlo,1,10000,0.06408133333333328,0.00024896445797208203,56.833333333333336
15,LOCART,1,15000,0.05101200000000019,0.0006422379743807066,69.16666666666667
16,LOFOREST,1,15000,0.03429200000000004,0.0003089985135606903,69.16666666666667
17,tuned LOFOREST,1,15000,0.034068000000000015,0.0003381984017503659,69.16666666666667
18,boosting,1,15000,0.07919999999999928,0.0007165529384352656,69.16666666666667
19,monte-carlo,1,15000,0.03862799999999997,0.00018062550959388148,69.16666666666667
20,LOCART,10,1000,0.0645733333333334,0.0008742214044696514,46.0
21,LOFOREST,10,1000,0.07828266666666647,0.0010060455963617195,46.0
22,tuned LOFOREST,10,1000,0.0783586666666664,0.0009954651128229965,46.0
23,boosting,10,1000,0.04598533333333336,0.001156573792663712,46.0
24,monte-carlo,10,1000,0.04557600000000042,7.323820721375251e-05,46.0
25,LOCART,10,5000,0.02279333333333332,0.0002477465716937554,65.66666666666667
26,LOFOREST,10,5000,0.028921333333333386,0.00030298788208665936,65.66666666666667
27,tuned LOFOREST,10,5000,0.023514666666666705,0.0003318450468879007,65.66666666666667
28,boosting,10,5000,0.043972000000000094,0.0008241586080920169,65.66666666666667
29,monte-carlo,10,5000,0.03775333333333333,0.0003222116203619841,65.66666666666667
30,LOCART,10,10000,0.017973333333333317,0.0006470655835124117,58.166666666666664
31,LOFOREST,10,10000,0.018842666666666667,0.00024013646600324275,58.166666666666664
32,tuned LOFOREST,10,10000,0.017501333333333317,0.00020468466161290217,58.166666666666664
33,boosting,10,10000,0.03630933333333336,0.0010715057886963898,58.166666666666664
34,monte-carlo,10,10000,0.019578666666666675,0.00015264905737032633,58.166666666666664
35,LOCART,10,15000,0.013262666666666641,0.0009577322926726378,32.833333333333336
36,LOFOREST,10,15000,0.011589333333333335,0.00011483148677043873,32.833333333333336
37,tuned LOFOREST,10,15000,0.01133866666666667,0.00010184599234323666,32.833333333333336
38,boosting,10,15000,0.030004000000000062,0.000853267202838786,32.833333333333336
39,monte-carlo,10,15000,0.015433333333333332,0.00013988826016979807,32.833333333333336
40,LOCART,20,1000,0.050292000000000066,0.0005921280413751004,52.666666666666664
41,LOFOREST,20,1000,0.07527333333333305,0.0009137504776509673,52.666666666666664
42,tuned LOFOREST,20,1000,0.0713080000000001,0.0008687600025654917,52.666666666666664
43,boosting,20,1000,0.03938399999999999,0.0010409046184407813,52.666666666666664
44,monte-carlo,20,1000,0.04535466666666705,0.00011639546722326927,52.666666666666664
45,LOCART,20,5000,0.020250666666666667,0.0002680098645687749,61.666666666666664
46,LOFOREST,20,5000,0.023718666666666662,0.0002537163399718752,61.666666666666664
47,tuned LOFOREST,20,5000,0.021176,0.0003110408141744502,61.666666666666664
48,boosting,20,5000,0.024215999999999974,0.0006630054863747087,61.666666666666664
49,monte-carlo,20,5000,0.024766666666666676,0.00027921315957054433,61.666666666666664
50,LOCART,20,10000,0.013321333333333333,0.00036973777214148506,43.166666666666664
51,LOFOREST,20,10000,0.012330666666666665,0.00014265412659783487,43.166666666666664
52,tuned LOFOREST,20,10000,0.011825333333333328,0.00011413918180469524,43.166666666666664
53,boosting,20,10000,0.01612933333333333,0.0004995909545913195,43.166666666666664
54,monte-carlo,20,10000,0.014324000000000003,0.0001406409539427469,43.166666666666664
55,LOCART,20,15000,0.012706666666666656,0.00030191359884696085,26.5
56,LOFOREST,20,15000,0.01088933333333335,0.00012657641905221647,26.5
57,tuned LOFOREST,20,15000,0.010269333333333342,0.00010890578523482161,26.5
58,boosting,20,15000,0.016982666666666663,0.0005011896339890796,26.5
59,monte-carlo,20,15000,0.012687999999999984,0.000159470684329421,26.5
60,LOCART,50,1000,0.032532000000000026,0.0004710762632115053,54.166666666666664
61,LOFOREST,50,1000,0.055617333333333366,0.0006892526704961005,54.166666666666664
62,tuned LOFOREST,50,1000,0.050733333333333415,0.0006252439566547856,54.166666666666664
63,boosting,50,1000,0.02188266666666664,0.001169031983608485,54.166666666666664
64,monte-carlo,50,1000,0.04347466666666702,0.00016515590658975276,54.166666666666664
65,LOCART,50,5000,0.015421333333333322,0.0002763123906344165,47.833333333333336
66,LOFOREST,50,5000,0.013249333333333342,0.00021512214250869296,47.833333333333336
