,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.046796666666666625,0.0007644699341680563,23.833333333333332
1,LOFOREST,1,1000,0.052610000000000066,0.000815926589582957,23.833333333333332
2,tuned LOFOREST,1,1000,0.049143333333333386,0.0007854761029022142,23.833333333333332
3,boosting,1,1000,0.029643333333333324,0.0008234897389802494,23.833333333333332
4,monte-carlo,1,1000,0.15066333333333265,0.0023067967900213234,23.833333333333332
5,LOCART,1,5000,0.026069999999999968,0.00025091251488010025,38.5
6,LOFOREST,1,5000,0.023106666666666647,0.0002987701512738195,38.5
7,tuned LOFOREST,1,5000,0.020966666666666654,0.0002981474377723305,38.5
8,boosting,1,5000,0.01766666666666665,0.0002547736799269872,38.5
9,monte-carlo,1,5000,0.036816666666666685,0.00023185974634530465,38.5
10,LOCART,1,10000,0.02047666666666664,0.00020577729381592534,41.0
11,LOFOREST,1,10000,0.01847333333333332,0.00021961586459893752,41.0
12,tuned LOFOREST,1,10000,0.01831666666666664,0.00018124233373882143,41.0
13,boosting,1,10000,0.014189999999999984,0.00018901799073909643,41.0
14,monte-carlo,1,10000,0.023119999999999995,0.00015250423187813662,41.0
15,LOCART,1,15000,0.01991999999999997,0.00016969969723838038,53.166666666666664
16,LOFOREST,1,15000,0.01610666666666666,0.00015475646738514977,53.166666666666664
17,tuned LOFOREST,1,15000,0.01550333333333332,0.00013961343014389115,53.166666666666664
18,boosting,1,15000,0.013309999999999982,0.00018304019662425714,53.166666666666664
19,monte-carlo,1,15000,0.019103333333333316,0.00018489346949453992,53.166666666666664
20,LOCART,10,1000,0.01734666666666666,0.0003866500443425854,37.833333333333336
21,LOFOREST,10,1000,0.021096666666666652,0.00036950951807851587,37.833333333333336
22,tuned LOFOREST,10,1000,0.020113333333333316,0.00036727024676166996,37.833333333333336
23,boosting,10,1000,0.028446666666666627,0.0007592131848712208,37.833333333333336
24,monte-carlo,10,1000,0.04903666666666668,0.001413213972510451,37.833333333333336
25,LOCART,10,5000,0.012959999999999989,0.00031363694838291317,38.333333333333336
26,LOFOREST,10,5000,0.010756666666666652,0.00023610777426835954,38.333333333333336
27,tuned LOFOREST,10,5000,0.010393333333333322,0.00023372126482121725,38.333333333333336
28,boosting,10,5000,0.014016666666666637,0.00030151858789755553,38.333333333333336
29,monte-carlo,10,5000,0.01296666666666664,0.00041941194821383743,38.333333333333336
30,LOCART,10,10000,0.014166666666666643,0.000324952851280852,31.0
31,LOFOREST,10,10000,0.00922666666666666,0.00016907388138401243,31.0
32,tuned LOFOREST,10,10000,0.008783333333333325,0.0001506679517589683,31.0
33,boosting,10,10000,0.00997333333333331,0.0002151423387572184,31.0
34,monte-carlo,10,10000,0.010649999999999974,0.000215714917227351,31.0
35,LOCART,10,15000,0.01105333333333332,0.00030989264104072135,23.833333333333332
36,LOFOREST,10,15000,0.00801666666666666,0.0001514099564002287,23.833333333333332
37,tuned LOFOREST,10,15000,0.007913333333333328,0.00012742266919788734,23.833333333333332
38,boosting,10,15000,0.00988999999999998,0.00019897271252414977,23.833333333333332
39,monte-carlo,10,15000,0.008976666666666657,0.00015620892019654648,23.833333333333332
40,LOCART,20,1000,0.012649999999999991,0.0006699805893631952,35.666666666666664
41,LOFOREST,20,1000,0.013626666666666676,0.0007398114607998863,35.666666666666664
