,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.08838920000000217,0.0007555673286565715,79.1
1,LOFOREST,1,1000,0.09053640000000122,0.0005782702684153771,79.1
2,tuned LOFOREST,1,1000,0.09052360000000141,0.0006057258095465308,79.1
3,boosting,1,1000,0.06869280000000016,0.0010415988561965949,79.1
4,monte-carlo,1,1000,0.046890399999998444,1.9182461990055637e-05,79.1
5,LOCART,1,5000,0.06261040000000051,0.0005669992615400237,79.7
6,LOFOREST,1,5000,0.0552331999999999,0.0002929296279526679,79.7
7,tuned LOFOREST,1,5000,0.054659599999999954,0.00032321714155731843,79.7
8,boosting,1,5000,0.044194400000000134,0.00039701092168352496,79.7
9,monte-carlo,1,5000,0.11657960000000135,0.000298868482681731,79.7
10,LOCART,1,10000,0.05847000000000028,0.0003081394815682031,90.0
11,LOFOREST,1,10000,0.04980639999999976,0.0002888551977921148,90.0
12,tuned LOFOREST,1,10000,0.038587599999999875,0.00023327093987618789,90.0
13,boosting,1,10000,0.030872000000000156,0.0003731925498934866,90.0
14,monte-carlo,1,10000,0.12490160000000035,0.0005448106125063248,90.0
15,LOCART,1,15000,0.04803480000000037,0.0002645271494718122,90.0
16,LOFOREST,1,15000,0.04415800000000007,0.00012369507727505314,90.0
17,tuned LOFOREST,1,15000,0.03260040000000002,0.00014645375436744525,90.0
18,boosting,1,15000,0.02984680000000012,0.00024171849862185006,90.0
19,monte-carlo,1,15000,0.11395079999999978,0.0002835160995781328,90.0
20,LOCART,10,1000,0.06327599999999979,0.0009367662618478523,83.2
21,LOFOREST,10,1000,0.08021879999999981,0.0004950034824398078,83.2
22,tuned LOFOREST,10,1000,0.07938359999999989,0.0005034964170200404,83.2
23,boosting,10,1000,0.05567360000000009,0.000853940189707739,83.2
24,monte-carlo,10,1000,0.04276759999999933,9.054360544886656e-05,83.2
25,LOCART,10,5000,0.042490400000000185,0.00048084545827565493,82.4
26,LOFOREST,10,5000,0.04380159999999987,0.00030854685346948295,82.4
27,tuned LOFOREST,10,5000,0.0378900000000002,0.00034977960182949405,82.4
28,boosting,10,5000,0.025836000000000144,0.0004227126972874148,82.4
29,monte-carlo,10,5000,0.04231160000000024,0.00022923807292856313,82.4
30,LOCART,10,10000,0.03131280000000009,0.00022274848423888626,87.7
31,LOFOREST,10,10000,0.03452600000000001,0.0001799236057940173,87.7
32,tuned LOFOREST,10,10000,0.029544399999999985,0.00020592563096885375,87.7
