,methods,N,B,MAE,se,K_tuned
0,LOCART,5,1000,0.01096133333333336,0.0008482388686011503,17.5
1,LOFOREST,5,1000,0.00968933333333336,0.0005373852927118901,17.5
2,tuned LOFOREST,5,1000,0.008117333333333344,0.00030851935999173856,17.5
3,boosting,5,1000,0.01317466666666665,0.0009409688874474172,17.5
4,monte-carlo,5,1000,0.015333333333333298,0.0004938112403236255,17.5
5,KS,5,1000,0.0362586666666668,2.196414436895185e-05,17.5
6,LOCART,5,5000,0.00895733333333332,0.00029652984232779374,0.8333333333333334
7,LOFOREST,5,5000,0.008727999999999977,0.00027193330869645346,0.8333333333333334
8,tuned LOFOREST,5,5000,0.008238666666666651,0.00015061006715760434,0.8333333333333334
9,boosting,5,5000,0.009513333333333318,0.00035777029382556743,0.8333333333333334
10,monte-carlo,5,5000,0.010455999999999995,0.0002842178009096353,0.8333333333333334
11,KS,5,5000,0.036262666666666776,2.09411104527877e-05,0.8333333333333334
12,LOCART,5,10000,0.005486666666666659,7.289801388229697e-05,0.0
13,LOFOREST,5,10000,0.007989333333333333,0.00015458607542741156,0.0
14,tuned LOFOREST,5,10000,0.005486666666666659,5.990088054204187e-05,0.0
15,boosting,5,10000,0.00657066666666667,0.0002579677210802576,0.0
16,monte-carlo,5,10000,0.010510666666666661,0.00020122925426901105,0.0
17,KS,5,10000,0.03635200000000009,2.2503858288305975e-05,0.0
18,LOCART,5,15000,0.005519999999999998,8.769627383443644e-05,0.0
19,LOFOREST,5,15000,0.007553333333333332,0.00013474139694014868,0.0
20,tuned LOFOREST,5,15000,0.005519999999999998,5.977573671305514e-05,0.0
21,boosting,5,15000,0.006082666666666663,0.00013356784832809076,0.0
22,monte-carlo,5,15000,0.011294666666666658,0.00017518661579558333,0.0
23,KS,5,15000,0.036194666666666764,2.5703885152526333e-05,0.0
24,LOCART,10,1000,0.006014666666666663,0.0007764297134857325,20.0
25,LOFOREST,10,1000,0.005830666666666661,0.0006916346812297898,20.0
26,tuned LOFOREST,10,1000,0.005622666666666655,0.000337588863740808,20.0
27,boosting,10,1000,0.017049333333333333,0.0007598064417155372,20.0
28,monte-carlo,10,1000,0.006574666666666652,0.0009140720747081803,20.0
29,KS,10,1000,0.03063600000000001,3.263471453211407e-05,20.0
30,LOCART,10,5000,0.00552533333333333,0.00019014191122236116,0.0
31,LOFOREST,10,5000,0.00791333333333333,0.00021039993365565667,0.0
32,tuned LOFOREST,10,5000,0.00552533333333333,0.00011919081053870078,0.0
33,boosting,10,5000,0.008193333333333325,0.000256249134046514,0.0
34,monte-carlo,10,5000,0.009165333333333336,0.00028448258552153975,0.0
35,KS,10,5000,0.031012000000000046,2.6048109968323244e-05,0.0
36,LOCART,10,10000,0.0064760000000000035,0.00013075082097327402,0.0
37,LOFOREST,10,10000,0.008420000000000021,0.00018660933934523197,0.0
38,tuned LOFOREST,10,10000,0.0064760000000000035,9.390829218745145e-05,0.0
39,boosting,10,10000,0.007921333333333341,0.00021151462426942323,0.0
40,monte-carlo,10,10000,0.01100533333333333,0.00021481481644955263,0.0
41,KS,10,10000,0.030978666666666693,2.1886304039896233e-05,0.0
42,LOCART,10,15000,0.00542533333333333,4.560319171560512e-05,0.0
43,LOFOREST,10,15000,0.007766666666666666,0.00013512882827306945,0.0
44,tuned LOFOREST,10,15000,0.00542533333333333,3.081914321452465e-05,0.0
45,boosting,10,15000,0.005918666666666664,0.00015327709994077736,0.0
46,monte-carlo,10,15000,0.00898800000000001,0.0001585690599247906,0.0
47,KS,10,15000,0.030789333333333346,3.569111288674911e-05,0.0
48,LOCART,20,1000,0.02211466666666661,0.0006127867204612556,16.5
49,LOFOREST,20,1000,0.019762666666666588,0.0006227332248774382,16.5
50,tuned LOFOREST,20,1000,0.019742666666666592,0.0005669191197131172,16.5
51,boosting,20,1000,0.026530666666666616,0.00100888459271397,16.5
52,monte-carlo,20,1000,0.012237333333333314,0.0005689902166704328,16.5
53,KS,20,1000,0.025703999999999966,1.9723696345534864e-05,16.5
54,LOCART,20,5000,0.005781333333333331,0.00016044955280674608,0.0
55,LOFOREST,20,5000,0.008749333333333312,0.00022803287900972756,0.0
56,tuned LOFOREST,20,5000,0.005781333333333331,0.00010325623758796876,0.0
57,boosting,20,5000,0.00972533333333331,0.0003284170364948843,0.0
58,monte-carlo,20,5000,0.00953199999999999,0.0002672996590964641,0.0
59,KS,20,5000,0.02573466666666666,3.628131966148142e-05,0.0
60,LOCART,20,10000,0.0056373333333333345,6.50353400605402e-05,0.0
61,LOFOREST,20,10000,0.00801466666666667,0.00014885568231135345,0.0
62,tuned LOFOREST,20,10000,0.0056373333333333345,6.50353400605402e-05,0.0
63,boosting,20,10000,0.007049333333333341,0.00013290645864280298,0.0
64,monte-carlo,20,10000,0.009604,0.00023775485109268929,0.0
65,KS,20,10000,0.025571999999999966,3.1450303341094856e-05,0.0
66,LOCART,20,15000,0.005683999999999992,7.262058296350186e-05,0.0
67,LOFOREST,20,15000,0.009314666666666652,0.00012876155753791001,0.0
68,tuned LOFOREST,20,15000,0.005683999999999992,6.866440653118491e-05,0.0
69,boosting,20,15000,0.006953333333333329,0.00020787449664138558,0.0
70,monte-carlo,20,15000,0.01027733333333331,0.00019501204960133017,0.0
71,KS,20,15000,0.02541333333333332,3.2708978392632176e-05,0.0
72,LOCART,50,1000,0.015646666666666666,0.0006273249709627491,23.166666666666668
73,LOFOREST,50,1000,0.009965333333333307,0.0005825947510496603,23.166666666666668
74,tuned LOFOREST,50,1000,0.007639999999999983,0.00048106403937033936,23.166666666666668
75,boosting,50,1000,0.01961599999999997,0.0011895597333093887,23.166666666666668
76,monte-carlo,50,1000,0.012277333333333307,0.0004575059488515602,23.166666666666668
77,KS,50,1000,0.018866666666666688,3.705480225787675e-05,23.166666666666668
78,LOCART,50,5000,0.005581333333333326,0.00030108736820428175,1.3333333333333333
79,LOFOREST,50,5000,0.006427999999999989,0.00022394647229343574,1.3333333333333333
80,tuned LOFOREST,50,5000,0.005581333333333326,0.00016424403022642997,1.3333333333333333
81,boosting,50,5000,0.008570666666666654,0.00037175182207772233,1.3333333333333333
82,monte-carlo,50,5000,0.008568000000000004,0.00028664121632647114,1.3333333333333333
83,KS,50,5000,0.019121333333333348,3.1720803626579515e-05,1.3333333333333333
84,LOCART,50,10000,0.0057079999999999935,0.00018512897535070825,0.0
85,LOFOREST,50,10000,0.008613333333333341,0.00014771238519752005,0.0
86,tuned LOFOREST,50,10000,0.0057079999999999935,0.00010123437045448962,0.0
87,boosting,50,10000,0.007289333333333342,0.0001940932974929506,0.0
88,monte-carlo,50,10000,0.011970666666666657,0.0002645210869327784,0.0
89,KS,50,10000,0.019005333333333367,3.442349661701354e-05,0.0
90,LOCART,50,15000,0.005358666666666661,3.7816520438916645e-05,0.0
91,LOFOREST,50,15000,0.009233333333333335,0.0001226087839816749,0.0
92,tuned LOFOREST,50,15000,0.005358666666666661,3.7816520438916645e-05,0.0
93,boosting,50,15000,0.00676133333333334,0.00012619792697846674,0.0
94,monte-carlo,50,15000,0.010358666666666655,0.0001938958247300243,0.0
95,KS,50,15000,0.018957333333333354,3.78676438754101e-05,0.0
96,LOCART,100,1000,0.011052000000000013,0.0005405131721041655,8.166666666666666
97,LOFOREST,100,1000,0.009402666666666682,0.0006247900370155639,8.166666666666666
98,tuned LOFOREST,100,1000,0.007612000000000004,0.0005625828961103275,8.166666666666666
99,boosting,100,1000,0.011752,0.0009597808010723038,8.166666666666666
100,monte-carlo,100,1000,0.012866666666666651,0.0004724769400343223,8.166666666666666
101,KS,100,1000,0.014548000000000021,4.10620680445923e-05,8.166666666666666
102,LOCART,100,5000,0.006565333333333334,0.0003490534274904026,0.0
103,LOFOREST,100,5000,0.007761333333333348,0.00020996064988958586,0.0
104,tuned LOFOREST,100,5000,0.006565333333333334,0.0001393152741560255,0.0
105,boosting,100,5000,0.007903999999999994,0.00027962201424018167,0.0
106,monte-carlo,100,5000,0.008066666666666658,0.0002344151268311037,0.0
107,KS,100,5000,0.014862666666666673,4.133422221266485e-05,0.0
108,LOCART,100,10000,0.0059346666666666575,8.589110149993676e-05,0.0
109,LOFOREST,100,10000,0.008318666666666679,0.0001240915695348784,0.0
110,tuned LOFOREST,100,10000,0.005303999999999992,8.298437117965238e-05,0.0
111,boosting,100,10000,0.008009333333333323,0.0001754529960151706,0.0
112,monte-carlo,100,10000,0.008326666666666665,0.00021674196617460688,0.0
113,KS,100,10000,0.014865333333333366,4.816206112374405e-05,0.0
114,LOCART,100,15000,0.005317333333333336,6.483969774214086e-05,0.0
115,LOFOREST,100,15000,0.008395999999999987,0.00011684338334048938,0.0
116,tuned LOFOREST,100,15000,0.005317333333333336,4.159735984024701e-05,0.0
117,boosting,100,15000,0.008351999999999995,0.00013969860090441163,0.0
118,monte-carlo,100,15000,0.010574666666666658,0.00011754699961862758,0.0
119,KS,100,15000,0.014968000000000016,4.345288276485438e-05,0.0
