,methods,N,B,MAE,se,K_tuned
0,LOCART,5,1000,0.006750000000000004,0.0007536350581170185,15.333333333333334
1,LOFOREST,5,1000,0.006733333333333338,0.0005180710598414712,15.333333333333334
2,tuned LOFOREST,5,1000,0.005340000000000004,0.0004006558388873999,15.333333333333334
3,boosting,5,1000,0.00988333333333332,0.0009036755863871145,15.333333333333334
4,monte-carlo,5,1000,0.018043333333333293,0.0007430178118485973,15.333333333333334
5,KS,5,1000,0.03670666666666672,3.583857268615959e-05,15.333333333333334
6,LOCART,5,5000,0.006466666666666654,0.0003231439970018834,0.0
7,LOFOREST,5,5000,0.009363333333333314,0.00026081235548505374,0.0
8,tuned LOFOREST,5,5000,0.006466666666666654,0.0001193831815329182,0.0
9,boosting,5,5000,0.012433333333333312,0.0003318495271082584,0.0
10,monte-carlo,5,5000,0.011439999999999978,0.0003193629261527117,0.0
11,KS,5,5000,0.03633000000000008,3.877267821716299e-05,0.0
12,LOCART,5,10000,0.007120000000000002,0.00014402603931234074,0.0
13,LOFOREST,5,10000,0.007673333333333327,0.00020318563751451737,0.0
14,tuned LOFOREST,5,10000,0.005346666666666668,0.0001203632977979169,0.0
15,boosting,5,10000,0.0066099999999999935,0.0002120602600900621,0.0
16,monte-carlo,5,10000,0.009473333333333325,0.00016261206455578427,0.0
17,KS,5,10000,0.03648000000000003,2.9368280248827126e-05,0.0
18,LOCART,5,15000,0.005356666666666666,6.826313467425521e-05,0.0
19,LOFOREST,5,15000,0.008149999999999994,0.00011800982730926981,0.0
20,tuned LOFOREST,5,15000,0.005356666666666666,6.78541433787392e-05,0.0
21,boosting,5,15000,0.00696666666666666,0.00011788532650742052,0.0
22,monte-carlo,5,15000,0.01052999999999998,0.00016621280053512124,0.0
23,KS,5,15000,0.03616000000000005,3.745428489225462e-05,0.0
24,LOCART,10,1000,0.01625666666666665,0.0007164124386863512,20.833333333333332
25,LOFOREST,10,1000,0.01429333333333332,0.0007590925926377675,20.833333333333332
26,tuned LOFOREST,10,1000,0.005856666666666669,0.0004783438919985743,20.833333333333332
27,boosting,10,1000,0.014819999999999972,0.0009198274325988068,20.833333333333332
28,monte-carlo,10,1000,0.0064199999999999926,0.0006794059266511592,20.833333333333332
29,KS,10,1000,0.03067000000000003,4.732629055586137e-05,20.833333333333332
30,LOCART,10,5000,0.0059633333333333335,0.0002607998807089019,0.0
