,methods,N,B,MAE,se,K_tuned
0,LOCART,5,1000,0.0113704,0.0006374161479362796,17.5
1,LOFOREST,5,1000,0.007332000000000014,0.00033695851660832225,17.5
2,tuned LOFOREST,5,1000,0.006867599999999997,0.0003231260132820032,17.5
3,boosting,5,1000,0.013987999999999993,0.0008716817669299316,17.5
4,monte-carlo,5,1000,0.010748000000000063,0.0003311626524720435,17.5
5,KS,5,1000,0.03620480000000014,9.029751713086857e-06,17.5
6,LOCART,5,5000,0.005738000000000018,0.00017458979696557394,0.0
7,LOFOREST,5,5000,0.006975200000000034,0.0001435091853049135,0.0
8,tuned LOFOREST,5,5000,0.005738000000000018,7.101683882798518e-05,0.0
9,boosting,5,5000,0.009935600000000011,0.0005366927300700871,0.0
10,monte-carlo,5,5000,0.010907600000000026,0.00016322583834675188,0.0
11,KS,5,5000,0.03606880000000018,1.0689837207366186e-05,0.0
12,LOCART,5,10000,0.007000400000000022,0.00021447145076881492,0.0
13,LOFOREST,5,10000,0.008316400000000035,0.00010626009422017444,0.0
14,tuned LOFOREST,5,10000,0.0058992000000000185,4.6629544776675875e-05,0.0
15,boosting,5,10000,0.008234400000000029,0.0006618960321007549,0.0
16,monte-carlo,5,10000,0.008640800000000047,0.00013532245503418796,0.0
17,KS,5,10000,0.03620320000000019,1.0126217599874001e-05,0.0
18,LOCART,5,15000,0.005419200000000031,4.214979914542911e-05,0.0
19,LOFOREST,5,15000,0.009000400000000039,7.661513253346274e-05,0.0
20,tuned LOFOREST,5,15000,0.005419200000000031,4.214979914542911e-05,0.0
21,boosting,5,15000,0.009070400000000043,0.00039072553863560305,0.0
22,monte-carlo,5,15000,0.009596000000000045,0.0001165859089996727,0.0
23,KS,5,15000,0.03619800000000026,1.0697438945844659e-05,0.0
24,LOCART,10,1000,0.009811199999999999,0.0006500259506164997,12.0
25,LOFOREST,10,1000,0.0074504000000000445,0.00031473369410979886,12.0
26,tuned LOFOREST,10,1000,0.0074504000000000445,0.000321602195672108,12.0
27,boosting,10,1000,0.02032160000000003,0.0010263552193561104,12.0
28,monte-carlo,10,1000,0.011066000000000001,0.00025856508615046826,12.0
29,KS,10,1000,0.03080720000000031,1.3123676753105717e-05,12.0
30,LOCART,10,5000,0.005652000000000031,0.00016659228242773075,0.8
31,LOFOREST,10,5000,0.007828000000000055,0.00016008769976084958,0.8
32,tuned LOFOREST,10,5000,0.005652000000000031,0.00010067223982171152,0.8
33,boosting,10,5000,0.012184800000000036,0.0006699134162141269,0.8
34,monte-carlo,10,5000,0.009956000000000053,0.00018956469388069024,0.8
35,KS,10,5000,0.030943600000000304,1.4901286108251291e-05,0.8
36,LOCART,10,10000,0.005658000000000017,5.580728656654041e-05,0.0
37,LOFOREST,10,10000,0.009535600000000047,0.0001157848991881069,0.0
38,tuned LOFOREST,10,10000,0.005658000000000017,4.533882625388486e-05,0.0
39,boosting,10,10000,0.00845600000000003,0.0005566943466427548,0.0
40,monte-carlo,10,10000,0.010973200000000035,0.0001715094436154466,0.0
41,KS,10,10000,0.03090200000000022,1.1489737807280394e-05,0.0
42,LOCART,10,15000,0.005496000000000017,6.366411436028962e-05,0.0
43,LOFOREST,10,15000,0.007697600000000018,0.00012268816481992046,0.0
44,tuned LOFOREST,10,15000,0.005496000000000017,5.829048497585163e-05,0.0
45,boosting,10,15000,0.007607600000000006,0.0004327506155470167,0.0
46,monte-carlo,10,15000,0.010536000000000054,0.00012519920229266557,0.0
47,KS,10,15000,0.0308472000000003,1.2885752752554116e-05,0.0
48,LOCART,20,1000,0.012118400000000036,0.0005960537457098322,19.6
49,LOFOREST,20,1000,0.008122400000000014,0.0002623528485050632,19.6
50,tuned LOFOREST,20,1000,0.005700800000000031,0.00024637940820190356,19.6
51,boosting,20,1000,0.019385200000000047,0.0009127039601157026,19.6
52,monte-carlo,20,1000,0.010599599999999966,0.00037583980069130605,19.6
53,KS,20,1000,0.025616800000000273,1.2532707978724428e-05,19.6
54,LOCART,20,5000,0.00544240000000002,0.00020120687542924667,0.0
55,LOFOREST,20,5000,0.009280400000000055,0.00015703268278826507,0.0
56,tuned LOFOREST,20,5000,0.00544240000000002,8.008926379983813e-05,0.0
57,boosting,20,5000,0.00968840000000007,0.00042098728045393536,0.0
58,monte-carlo,20,5000,0.009412000000000014,0.00017854786535469988,0.0
59,KS,20,5000,0.02574640000000032,1.396346084321532e-05,0.0
60,LOCART,20,10000,0.005398000000000025,5.816248689043531e-05,0.0
61,LOFOREST,20,10000,0.008777600000000003,0.00012587258340274096,0.0
62,tuned LOFOREST,20,10000,0.005398000000000025,5.2168101211372785e-05,0.0
63,boosting,20,10000,0.007088000000000011,0.0003921327787598502,0.0
64,monte-carlo,20,10000,0.010036400000000037,0.00013372199486875696,0.0
65,KS,20,10000,0.025632400000000298,1.4076946987184255e-05,0.0
66,LOCART,20,15000,0.005626400000000013,7.781505132762002e-05,0.0
67,LOFOREST,20,15000,0.009863600000000024,0.00013083902124244096,0.0
68,tuned LOFOREST,20,15000,0.005626400000000013,3.191564884629449e-05,0.0
69,boosting,20,15000,0.008068000000000018,0.0004420077276066581,0.0
70,monte-carlo,20,15000,0.009612000000000039,0.00010965826684167487,0.0
71,KS,20,15000,0.025508000000000343,1.1254832690005236e-05,0.0
72,LOCART,50,1000,0.015280800000000075,0.0005600461854828788,19.6
73,LOFOREST,50,1000,0.007282400000000022,0.000343986763520227,19.6
74,tuned LOFOREST,50,1000,0.006826000000000018,0.00032592757423697785,19.6
75,boosting,50,1000,0.012088000000000008,0.0009211355023361115,19.6
76,monte-carlo,50,1000,0.00910200000000004,0.000391239464093693,19.6
77,KS,50,1000,0.01894920000000023,1.5212299234500974e-05,19.6
78,LOCART,50,5000,0.007080400000000048,0.00017106972980536445,0.9
79,LOFOREST,50,5000,0.0091624,0.0001313394079060822,0.9
80,tuned LOFOREST,50,5000,0.007080400000000048,9.152957228961716e-05,0.9
81,boosting,50,5000,0.015993200000000037,0.0005032705881173678,0.9
