,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.0165626666666666,0.0006378636192585,18.166666666666668
1,LOFOREST,1,1000,0.0112639999999999,0.0005659176796568,18.166666666666668
2,tuned LOFOREST,1,1000,0.0100786666666666,0.000455826592976,18.166666666666668
3,boosting,1,1000,0.0203413333333332,0.0009571476440155,18.166666666666668
4,monte-carlo,1,1000,0.0058493333333333,0.0004497456136208,18.166666666666668
5,LR,1,1000,0.0054306666666666,2.642334545785569e-05,18.166666666666668
6,LOCART,1,5000,0.0136946666666666,0.0003075110612216,0.0
7,LOFOREST,1,5000,0.0114466666666666,0.0002690041896655,0.0
8,tuned LOFOREST,1,5000,0.0057653333333333,8.704208489696185e-05,0.0
9,boosting,1,5000,0.0096333333333333,0.0002831927836145,0.0
10,monte-carlo,1,5000,0.0076226666666666,0.0003066562683153,0.0
11,LR,1,5000,0.0056866666666666,2.4263710306959956e-05,0.0
12,LOCART,1,10000,0.0060706666666666,0.0001652356352123,0.0
13,LOFOREST,1,10000,0.0083759999999999,0.000136525268859,0.0
14,tuned LOFOREST,1,10000,0.0060706666666666,7.034125167526411e-05,0.0
15,boosting,1,10000,0.0069453333333333,0.0001682474221547,0.0
16,monte-carlo,1,10000,0.0102813333333333,0.0002105873418399,0.0
17,LR,1,10000,0.0055266666666666,2.2635249105269784e-05,0.0
18,LOCART,1,15000,0.0058559999999999,8.516050747219543e-05,0.0
19,LOFOREST,1,15000,0.0098426666666666,0.0001565919466681,0.0
20,tuned LOFOREST,1,15000,0.0058559999999999,5.44659640010891e-05,0.0
21,boosting,1,15000,0.0065453333333333,0.0001863490682638,0.0
22,monte-carlo,1,15000,0.0092906666666666,0.0001389847264012,0.0
23,LR,1,15000,0.0056013333333333,1.9631509064464745e-05,0.0
24,LOCART,10,1000,0.0139706666666666,0.0007568630988842,16.666666666666668
25,LOFOREST,10,1000,0.0118853333333333,0.000644313509866,16.666666666666668
26,tuned LOFOREST,10,1000,0.0073119999999999,0.0005199433577254,16.666666666666668
27,boosting,10,1000,0.0315973333333333,0.001408792036886,16.666666666666668
28,monte-carlo,10,1000,0.0178226666666666,0.0005826410060739,16.666666666666668
29,LR,10,1000,0.0054319999999999,2.6176633314604143e-05,16.666666666666668
30,LOCART,10,5000,0.005696,0.0001984786829573,0.6666666666666666
31,LOFOREST,10,5000,0.007656,0.0002096913940157,0.6666666666666666
32,tuned LOFOREST,10,5000,0.005696,0.0001186140996067,0.6666666666666666
33,boosting,10,5000,0.0125733333333333,0.0002695197032735,0.6666666666666666
34,monte-carlo,10,5000,0.0085266666666666,0.0002256214747681,0.6666666666666666
35,LR,10,5000,0.0055826666666666,2.808760428379944e-05,0.6666666666666666
36,LOCART,10,10000,0.00558,9.424420288685024e-05,0.0
37,LOFOREST,10,10000,0.0092533333333333,0.0001605495264791,0.0
38,tuned LOFOREST,10,10000,0.00558,7.829974651636328e-05,0.0
39,boosting,10,10000,0.0099493333333333,0.0002224427322241,0.0
40,monte-carlo,10,10000,0.0106359999999999,0.0001906756527278,0.0
41,LR,10,10000,0.0055106666666666,2.5084044409756223e-05,0.0
42,LOCART,10,15000,0.0055106666666666,4.841273103997519e-05,0.0
43,LOFOREST,10,15000,0.0079199999999999,0.0001086528040843,0.0
44,tuned LOFOREST,10,15000,0.0055106666666666,4.841273103997519e-05,0.0
45,boosting,10,15000,0.0073639999999999,0.0001322319956549,0.0
46,monte-carlo,10,15000,0.0100119999999999,0.0001421955576855,0.0
47,LR,10,15000,0.0055093333333333,3.009763426712098e-05,0.0
0,LOCART,20,1000,0.0093066666666666,0.0004959693163412,20.1
1,LOFOREST,20,1000,0.0078413333333333,0.0004617533116632,20.1
2,tuned LOFOREST,20,1000,0.0069253333333333,0.0003712567590513,20.1
3,boosting,20,1000,0.0164226666666666,0.0005751385116137,20.1
4,monte-carlo,20,1000,0.0078333333333333,0.0004734659189931,20.1
5,LR,20,1000,0.0056333333333333,1.822643121037889e-05,20.1
6,LOCART,20,5000,0.0055079999999999,0.0003104435668165,0.5
7,LOFOREST,20,5000,0.0097239999999999,0.0002011678878372,0.5
8,tuned LOFOREST,20,5000,0.0055079999999999,0.0001490746764216,0.5
9,boosting,20,5000,0.0081853333333333,0.0002977140809061,0.5
10,monte-carlo,20,5000,0.0091933333333333,0.0002061746296193,0.5
11,LR,20,5000,0.0055493333333333,2.088096515436452e-05,0.5
12,LOCART,20,10000,0.0055533333333333,7.779110086778701e-05,0.0
13,LOFOREST,20,10000,0.0069133333333333,0.0001347342985286,0.0
14,tuned LOFOREST,20,10000,0.0055533333333333,6.449704555507427e-05,0.0
15,boosting,20,10000,0.0073066666666666,0.0001844076518441,0.0
16,monte-carlo,20,10000,0.0096093333333333,0.0001993908512244,0.0
17,LR,20,10000,0.0055293333333333,1.94562986088197e-05,0.0
18,LOCART,20,15000,0.0056653333333333,7.860334346295712e-05,0.0
19,LOFOREST,20,15000,0.0079013333333333,9.181031219736565e-05,0.0
20,tuned LOFOREST,20,15000,0.0056653333333333,5.1325942325061807e-05,0.0
21,boosting,20,15000,0.0064186666666666,0.0001354699151316,0.0
22,monte-carlo,20,15000,0.0103226666666666,0.0001254453042529,0.0
23,LR,20,15000,0.0055999999999999,2.5646674395631785e-05,0.0
48,LOCART,50,1000,0.0086786666666666,0.0007998227129072,17.833333333333332
49,LOFOREST,50,1000,0.0083879999999999,0.0004925077712992,17.833333333333332
50,tuned LOFOREST,50,1000,0.0083746666666666,0.000420100418017,17.833333333333332
51,boosting,50,1000,0.0163626666666666,0.0011082849339919,17.833333333333332
52,monte-carlo,50,1000,0.0142839999999999,0.000600761664649,17.833333333333332
53,LR,50,1000,0.0057093333333333,3.2239335430048985e-05,17.833333333333332
54,LOCART,50,5000,0.0057226666666666,0.0003388521762749,0.0
55,LOFOREST,50,5000,0.0069866666666666,0.0002484596563288,0.0
56,tuned LOFOREST,50,5000,0.0057226666666666,9.96012292716709e-05,0.0
57,boosting,50,5000,0.0071813333333333,0.0001908736647229,0.0
58,monte-carlo,50,5000,0.0135439999999999,0.0003004442520271,0.0
59,LR,50,5000,0.0057453333333333,2.945820782448339e-05,0.0
60,LOCART,50,10000,0.0055466666666666,8.654269613979002e-05,0.0
61,LOFOREST,50,10000,0.0098426666666666,0.0001704572366632,0.0
62,tuned LOFOREST,50,10000,0.0055466666666666,5.196961695471445e-05,0.0
63,boosting,50,10000,0.0088346666666666,0.0002329033612975,0.0
64,monte-carlo,50,10000,0.0100026666666666,0.0001929549461901,0.0
65,LR,50,10000,0.0055,2.8235003230164478e-05,0.0
66,LOCART,50,15000,0.0057719999999999,4.856341490762078e-05,0.0
67,LOFOREST,50,15000,0.009416,0.0001125167107844,0.0
68,tuned LOFOREST,50,15000,0.0057719999999999,4.847748041096917e-05,0.0
69,boosting,50,15000,0.007144,0.0001475051518107,0.0
70,monte-carlo,50,15000,0.009044,0.0001806355047609,0.0
71,LR,50,15000,0.0054506666666666,3.399663599915831e-05,0.0
72,LOCART,100,1000,0.0082039999999999,0.0007360250425154,20.33333333333333
73,LOFOREST,100,1000,0.0069146666666666,0.0005429047124935,20.33333333333333
74,tuned LOFOREST,100,1000,0.0066519999999999,0.0004414994177813,20.33333333333333
75,boosting,100,1000,0.0133733333333333,0.0009649712247655,20.33333333333333
76,monte-carlo,100,1000,0.0083826666666666,0.0005502410647763,20.33333333333333
77,LR,100,1000,0.0053746666666666,3.564060568596686e-05,20.33333333333333
78,LOCART,100,5000,0.008892,0.000235777283345,1.1666666666666667
79,LOFOREST,100,5000,0.01044,0.0001967661687605,1.1666666666666667
80,tuned LOFOREST,100,5000,0.008892,0.0001873326145586,1.1666666666666667
81,boosting,100,5000,0.0094186666666666,0.0004132443744174,1.1666666666666667
82,monte-carlo,100,5000,0.0066173333333333,0.0002856230632409,1.1666666666666667
83,LR,100,5000,0.0052946666666666,2.788631122808248e-05,1.1666666666666667
84,LOCART,100,10000,0.0056199999999999,0.0003420776625896,0.0
85,LOFOREST,100,10000,0.0087146666666666,0.0001548280171581,0.0
86,tuned LOFOREST,100,10000,0.0056199999999999,7.997902152923399e-05,0.0
87,boosting,100,10000,0.0063866666666666,0.0002301021560215,0.0
88,monte-carlo,100,10000,0.008912,0.0001717808415231,0.0
89,LR,100,10000,0.005588,2.6100867967214934e-05,0.0
90,LOCART,100,15000,0.0055426666666666,0.0001598460701937,0.0
91,LOFOREST,100,15000,0.0083999999999999,0.0001442833246127,0.0
92,tuned LOFOREST,100,15000,0.0055426666666666,6.017802997922982e-05,0.0
93,boosting,100,15000,0.0066039999999999,0.0001522594158399,0.0
94,monte-carlo,100,15000,0.0092933333333333,0.0001854923868525,0.0
95,LR,100,15000,0.0055466666666666,2.5134933308604263e-05,0.0
