,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.0125333333333333,0.0005303073959095,47.5
1,LOFOREST,1,1000,0.01722,0.0002539415060153,47.5
2,tuned LOFOREST,1,1000,0.0171433333333333,0.0002373996682161,47.5
3,boosting,1,1000,0.0217733333333333,0.0009286272050765,47.5
4,monte-carlo,1,1000,0.0333233333333332,0.0014867262515048,47.5
5,LR,1,1000,0.0189499999999999,5.799653743034572e-05,47.5
6,LOCART,1,5000,0.0112833333333333,0.0002707315960861,42.833333333333336
7,LOFOREST,1,5000,0.0082033333333333,0.0002346960042337,42.833333333333336
8,tuned LOFOREST,1,5000,0.0080733333333333,0.0002300751398105,42.833333333333336
9,boosting,1,5000,0.0080633333333333,0.0003318422458513,42.833333333333336
10,monte-carlo,1,5000,0.0106999999999999,0.0002804727813352,42.833333333333336
11,LR,1,5000,0.0187833333333333,5.050014871835615e-05,42.833333333333336
12,LOCART,1,10000,0.0129599999999999,0.0002493813283178,28.33333333333333
13,LOFOREST,1,10000,0.0085133333333333,0.0001582444961953,28.33333333333333
14,tuned LOFOREST,1,10000,0.0081133333333333,0.0001419439928962,28.33333333333333
15,boosting,1,10000,0.0094933333333333,0.000201203548431,28.33333333333333
16,monte-carlo,1,10000,0.0110099999999999,0.000203735469577,28.33333333333333
17,LR,1,10000,0.0193666666666666,5.354416660830377e-05,28.33333333333333
18,LOCART,1,15000,0.0123966666666666,0.000199334742346,22.666666666666668
19,LOFOREST,1,15000,0.0091299999999999,0.0001686968742773,22.666666666666668
20,tuned LOFOREST,1,15000,0.0086099999999999,0.000135178047503,22.666666666666668
21,boosting,1,15000,0.0114533333333333,0.0002016615232483,22.666666666666668
22,monte-carlo,1,15000,0.0103333333333333,0.0001538322545873,22.666666666666668
23,LR,1,15000,0.0189966666666666,7.110332422643423e-05,22.666666666666668
24,LOCART,10,1000,0.01423,0.0004804211732466,31.666666666666668
25,LOFOREST,10,1000,0.0140266666666666,0.0003366973925595,31.666666666666668
26,tuned LOFOREST,10,1000,0.01215,0.000261023452583,31.666666666666668
27,boosting,10,1000,0.0100166666666666,0.0010322897111453,31.666666666666668
28,monte-carlo,10,1000,0.0609266666666666,0.0022763810727726,31.666666666666668
29,LR,10,1000,0.0103399999999999,5.330632417950869e-05,31.666666666666668
30,LOCART,10,5000,0.0082766666666666,0.000504421412429,26.83333333333333
31,LOFOREST,10,5000,0.0101933333333333,0.0002473931419151,26.83333333333333
32,tuned LOFOREST,10,5000,0.0101099999999999,0.000193357937983,26.83333333333333
33,boosting,10,5000,0.0141833333333333,0.0003674381944612,26.83333333333333
34,monte-carlo,10,5000,0.0108299999999999,0.0003465309895939,26.83333333333333
35,LR,10,5000,0.0108566666666666,4.138666909284724e-05,26.83333333333333
36,LOCART,10,10000,0.0079933333333333,0.0002241897858563,24.83333333333333
37,LOFOREST,10,10000,0.0082033333333333,0.0001900536300745,24.83333333333333
38,tuned LOFOREST,10,10000,0.0076566666666666,0.0001561104929472,24.83333333333333
39,boosting,10,10000,0.0105599999999999,0.0002590279423095,24.83333333333333
40,monte-carlo,10,10000,0.0106333333333333,0.0001913349776244,24.83333333333333
41,LR,10,10000,0.01086,5.611230655125576e-05,24.83333333333333
42,LOCART,10,15000,0.0088966666666666,0.0001716227991415,21.0
43,LOFOREST,10,15000,0.0095533333333333,0.0001691222571398,21.0
44,tuned LOFOREST,10,15000,0.0083933333333333,0.0001354244113644,21.0
45,boosting,10,15000,0.0082533333333333,0.0001530690099618,21.0
46,monte-carlo,10,15000,0.0095799999999999,0.0001550356178378,21.0
47,LR,10,15000,0.0104033333333333,3.736390392976133e-05,21.0
96,LOCART,20,1000,0.0142633333333332,0.00045423632508,26.0
97,LOFOREST,20,1000,0.0145733333333332,0.0003806128420791,26.0
98,tuned LOFOREST,20,1000,0.0145666666666666,0.000340925482376,26.0
99,boosting,20,1000,0.0326766666666666,0.0008204455477361,26.0
100,monte-carlo,20,1000,0.0519066666666666,0.0020737609707753,26.0
101,LR,20,1000,0.0093666666666666,3.563828652820816e-05,26.0
102,LOCART,20,5000,0.0087199999999999,0.0003154417669801,26.1
103,LOFOREST,20,5000,0.0099866666666666,0.000152193131397,26.1
104,tuned LOFOREST,20,5000,0.0092933333333333,0.0001246946567508,26.1
105,boosting,20,5000,0.0081566666666666,0.0002508354872997,26.1
106,monte-carlo,20,5000,0.0100533333333333,0.0002203256178175,26.1
107,LR,20,5000,0.0094733333333333,3.688322593748472e-05,26.1
108,LOCART,20,10000,0.0078966666666666,0.0001239841409213,25.1
109,LOFOREST,20,10000,0.0087066666666666,0.000126807690268,25.1
110,tuned LOFOREST,20,10000,0.0078933333333333,0.0001122058045636,25.1
111,boosting,20,10000,0.0077833333333333,0.0001679911058492,25.1
112,monte-carlo,20,10000,0.0099999999999999,0.0001727442101296,25.1
113,LR,20,10000,0.0095,3.2406541177841094e-05,25.1
114,LOCART,20,15000,0.0085033333333333,0.0001000622583972,21.8
115,LOFOREST,20,15000,0.0102599999999999,0.0001068159438785,21.8
116,tuned LOFOREST,20,15000,0.0092966666666666,8.960540112689131e-05,21.8
117,boosting,20,15000,0.0123199999999999,0.0001436107643752,21.8
118,monte-carlo,20,15000,0.0110633333333333,0.000158638937633,21.8
119,LR,20,15000,0.0097933333333333,3.310737279418787e-05,21.8
48,LOCART,50,1000,0.0132933333333333,0.0007491412095538,17.166666666666668
49,LOFOREST,50,1000,0.0159066666666666,0.0005292193727032,17.166666666666668
50,tuned LOFOREST,50,1000,0.0147366666666666,0.0004683915516733,17.166666666666668
51,boosting,50,1000,0.0212099999999999,0.0010359260392748,17.166666666666668
52,monte-carlo,50,1000,0.0531966666666666,0.0020591339608496,17.166666666666668
53,LR,50,1000,0.0082233333333333,4.421096543868465e-05,17.166666666666668
54,LOCART,50,5000,0.0072233333333333,0.0003809052894174,20.166666666666668
55,LOFOREST,50,5000,0.0082633333333333,0.0001991152498329,20.166666666666668
56,tuned LOFOREST,50,5000,0.0081433333333333,0.0001405668843333,20.166666666666668
57,boosting,50,5000,0.0082633333333333,0.0003128179528175,20.166666666666668
58,monte-carlo,50,5000,0.0130399999999999,0.0003081360423191,20.166666666666668
59,LR,50,5000,0.00823,4.693757346166438e-05,20.166666666666668
60,LOCART,50,10000,0.0075066666666666,0.000292479656357,16.833333333333332
61,LOFOREST,50,10000,0.0099466666666666,0.0001977498107567,16.833333333333332
62,tuned LOFOREST,50,10000,0.0088599999999999,0.0001172461727331,16.833333333333332
63,boosting,50,10000,0.0077366666666666,0.0002216932036468,16.833333333333332
64,monte-carlo,50,10000,0.0088333333333333,0.0001964552996833,16.833333333333332
65,LR,50,10000,0.0080633333333333,4.4621061110760114e-05,16.833333333333332
66,LOCART,50,15000,0.0065866666666666,0.0001072974577725,18.666666666666668
67,LOFOREST,50,15000,0.00781,0.0001073375526354,18.666666666666668
68,tuned LOFOREST,50,15000,0.0073533333333333,0.0001061093872266,18.666666666666668
69,boosting,50,15000,0.0069566666666666,0.000191339592103,18.666666666666668
70,monte-carlo,50,15000,0.0103166666666666,0.0001378855074644,18.666666666666668
71,LR,50,15000,0.0085033333333333,4.716812151488338e-05,18.666666666666668
72,LOCART,100,1000,0.0141233333333333,0.0007163004430344,17.5
73,LOFOREST,100,1000,0.0133833333333333,0.0006094808588331,17.5
74,tuned LOFOREST,100,1000,0.00985,0.0004657550779031,17.5
75,boosting,100,1000,0.0271933333333332,0.0009643790675912,17.5
76,monte-carlo,100,1000,0.0535533333333332,0.0022748150796278,17.5
77,LR,100,1000,0.0074699999999999,3.8982342737032766e-05,17.5
78,LOCART,100,5000,0.0082633333333333,0.0004087787593235,5.0
79,LOFOREST,100,5000,0.0085899999999999,0.0002436720363867,5.0
80,tuned LOFOREST,100,5000,0.0083533333333333,0.0001568274313054,5.0
81,boosting,100,5000,0.0108299999999999,0.0003239003231575,5.0
82,monte-carlo,100,5000,0.0119366666666666,0.0003166531615053,5.0
83,LR,100,5000,0.0077333333333333,4.440657646027e-05,5.0
84,LOCART,100,10000,0.0075766666666666,0.0001667910165742,15.5
85,LOFOREST,100,10000,0.0084966666666666,0.000134584952595,15.5
86,tuned LOFOREST,100,10000,0.0078066666666666,8.080868021663226e-05,15.5
87,boosting,100,10000,0.0086833333333333,0.0001611354566535,15.5
88,monte-carlo,100,10000,0.0092733333333333,0.0002222414102827,15.5
89,LR,100,10000,0.0075333333333333,5.057596250729255e-05,15.5
90,LOCART,100,15000,0.0078833333333333,9.576849658562818e-05,10.333333333333334
91,LOFOREST,100,15000,0.0093633333333333,0.0001358010284996,10.333333333333334
92,tuned LOFOREST,100,15000,0.0084599999999999,7.146290585737593e-05,10.333333333333334
93,boosting,100,15000,0.0074433333333333,0.0001518614120748,10.333333333333334
94,monte-carlo,100,15000,0.0105933333333333,0.000213750603686,10.333333333333334
95,LR,100,15000,0.0080199999999999,4.486818371034197e-05,10.333333333333334
