,methods,N,B,MAE,se,K_tuned
0,LOCART,5,1000,0.0063052,0.0006813435723688,12.7
1,LOFOREST,5,1000,0.0060488,0.0003128129308611,12.7
2,tuned LOFOREST,5,1000,0.0059484,0.0002874064477495,12.7
3,boosting,5,1000,0.014284,0.000875041032455,12.7
4,monte-carlo,5,1000,0.0151344,0.0002902633314216,12.7
5,LR,5,1000,0.1606308,3.6234392572806056e-05,12.7
6,LOCART,5,5000,0.0055424,0.0002089996169764,0.0
7,LOFOREST,5,5000,0.0085808,0.0001361623798428,0.0
8,tuned LOFOREST,5,5000,0.0055424,9.395905698292231e-05,0.0
9,boosting,5,5000,0.0082528,0.0002551744937247,0.0
10,monte-carlo,5,5000,0.0116819999999999,0.0002051079740624,0.0
11,LR,5,5000,0.1607623999999997,3.802507044990151e-05,0.0
12,LOCART,5,10000,0.0055088,9.95066299765e-05,0.0
13,LOFOREST,5,10000,0.00872,0.0001152747114678,0.0
14,tuned LOFOREST,5,10000,0.0055088,3.902490796811701e-05,0.0
15,boosting,5,10000,0.007224,0.0001254753880746,0.0
16,monte-carlo,5,10000,0.0093656,0.0001497851471408,0.0
17,LR,5,10000,0.1605299999999996,3.889639529210876e-05,0.0
18,LOCART,5,15000,0.0055512,0.0001091410641311,0.0
19,LOFOREST,5,15000,0.0093152,8.862099363739886e-05,0.0
20,tuned LOFOREST,5,15000,0.0055512,3.540623648568119e-05,0.0
21,boosting,5,15000,0.0076776,0.0001302983656001,0.0
22,monte-carlo,5,15000,0.0095916,0.0001201274725667,0.0
23,LR,5,15000,0.1608415999999996,3.198943225505308e-05,0.0
24,LOCART,10,1000,0.0083604,0.0005933291649973,25.7
25,LOFOREST,10,1000,0.006756,0.0002905076409234,25.7
26,tuned LOFOREST,10,1000,0.0067028,0.0002548565793156,25.7
27,boosting,10,1000,0.014678,0.0008135305498373,25.7
28,monte-carlo,10,1000,0.0124575999999999,0.0004111848882888,25.7
29,LR,10,1000,0.1257836,3.980373006038424e-05,25.7
30,LOCART,10,5000,0.0056784,0.0002619585843296,0.0
31,LOFOREST,10,5000,0.0088364,0.0001582195394011,0.0
32,tuned LOFOREST,10,5000,0.0056784,0.0001242927442142,0.0
33,boosting,10,5000,0.0138444,0.0002749037443435,0.0
34,monte-carlo,10,5000,0.0094076,0.0001664071733876,0.0
35,LR,10,5000,0.1252103999999999,3.16771473665149e-05,0.0
36,LOCART,10,10000,0.0057936,8.703019668322071e-05,0.0
37,LOFOREST,10,10000,0.0079988,0.0001049595161025,0.0
38,tuned LOFOREST,10,10000,0.0057936,3.861847226393087e-05,0.0
39,boosting,10,10000,0.0078028,0.0001842216427884,0.0
40,monte-carlo,10,10000,0.009528,0.0001432684010983,0.0
41,LR,10,10000,0.1250379999999999,3.891249382910551e-05,0.0
42,LOCART,10,15000,0.0059692,3.60802444514998e-05,0.0
43,LOFOREST,10,15000,0.0089756,7.438819227592534e-05,0.0
44,tuned LOFOREST,10,15000,0.0059692,2.768074054500677e-05,0.0
