,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.05000000000000001,0.0007348381250035732,0.0
1,LOFOREST,1,1000,0.05000000000000001,3.800588715305073e-18,0.0
2,tuned LOFOREST,1,1000,0.05000000000000001,3.800588715305073e-18,0.0
3,boosting,1,1000,0.0704733333333327,0.0023502494536019325,0.0
4,monte-carlo,1,1000,0.05000000000000001,3.800588715305073e-18,0.0
5,LR,1,1000,0.7423919999999992,3.789584686843796e-05,0.0
6,LOCART,1,5000,0.054154666666666136,0.0006148182788299989,37.333333333333336
7,LOFOREST,1,5000,0.05331999999999958,0.0007230147055405658,37.333333333333336
8,tuned LOFOREST,1,5000,0.05000000000000001,0.0001509476152558862,37.333333333333336
9,boosting,1,5000,0.09707466666666555,0.00154325320401,37.333333333333336
10,monte-carlo,1,5000,0.07625866666666568,0.0004374963378847321,37.333333333333336
11,LR,1,5000,0.7422493333333328,3.450615165528125e-05,37.333333333333336
12,LOCART,1,10000,0.04789599999999991,0.000323701723597615,40.5
13,LOFOREST,1,10000,0.044289333333333514,0.0002544194703577347,40.5
14,tuned LOFOREST,1,10000,0.04369600000000023,0.00013013325971460277,40.5
15,boosting,1,10000,0.09204399999999875,0.000930427429578424,40.5
16,monte-carlo,1,10000,0.050363999999999756,0.0001465357763869091,40.5
17,LR,1,10000,0.7419773333333327,4.172011860357812e-05,40.5
18,LOCART,1,15000,0.046650666666666674,0.00042999881894752726,25.666666666666668
19,LOFOREST,1,15000,0.046661333333333374,0.00018020007243891878,25.666666666666668
20,tuned LOFOREST,1,15000,0.046036000000000084,0.00014913279502321854,25.666666666666668
21,boosting,1,15000,0.09012666666666602,0.0007337602762118487,25.666666666666668
22,monte-carlo,1,15000,0.046426666666666734,9.442220043059179e-05,25.666666666666668
23,LR,1,15000,0.7423439999999994,2.9607522122846924e-05,25.666666666666668
24,LOCART,10,1000,0.047173333333333387,0.00030093481743670875,0.0
25,LOFOREST,10,1000,0.05000000000000001,3.800588715305073e-18,0.0
26,tuned LOFOREST,10,1000,0.05000000000000001,3.800588715305073e-18,0.0
27,boosting,10,1000,0.08367199999999962,0.0029036241949809555,0.0
28,monte-carlo,10,1000,0.05000000000000001,3.800588715305073e-18,0.0
29,LR,10,1000,0.587098666666666,5.63990485283058e-05,0.0
30,LOCART,10,5000,0.03969600000000022,0.0006193627867918083,43.666666666666664
31,LOFOREST,10,5000,0.03802266666666689,0.0002802923657621146,43.666666666666664
32,tuned LOFOREST,10,5000,0.036454666666666864,0.0002116386529921434,43.666666666666664
33,boosting,10,5000,0.0952186666666662,0.003154931903275284,43.666666666666664
34,monte-carlo,10,5000,0.04226533333333354,0.00019708942817813315,43.666666666666664
35,LR,10,5000,0.5871213333333326,6.542840198268405e-05,43.666666666666664
36,LOCART,10,10000,0.03636400000000018,0.00027227622974462795,38.5
37,LOFOREST,10,10000,0.0381053333333335,0.00021223418465412492,38.5
38,tuned LOFOREST,10,10000,0.03741333333333353,0.00015923293825560584,38.5
39,boosting,10,10000,0.07769199999999957,0.003112901820097036,38.5
40,monte-carlo,10,10000,0.038994666666666906,0.00024859846070856694,38.5
41,LR,10,10000,0.587406666666666,5.9020091996351496e-05,38.5
42,LOCART,10,15000,0.03636133333333353,0.00028953532108600777,30.333333333333332
43,LOFOREST,10,15000,0.034546666666666864,0.00010878420637002055,30.333333333333332
44,tuned LOFOREST,10,15000,0.03396000000000022,0.00011435255743072086,30.333333333333332
45,boosting,10,15000,0.08288933333333295,0.002996281225390791,30.333333333333332
46,monte-carlo,10,15000,0.03714266666666695,0.00010825414876243882,30.333333333333332
47,LR,10,15000,0.5874066666666654,5.697752585603768e-05,30.333333333333332
48,LOCART,20,1000,0.048421333333333205,0.00029942098186096954,0.0
49,LOFOREST,20,1000,0.05000000000000001,3.800588715305073e-18,0.0
50,tuned LOFOREST,20,1000,0.05000000000000001,3.800588715305073e-18,0.0
51,boosting,20,1000,0.08268266666666586,0.0028538444291881485,0.0
52,monte-carlo,20,1000,0.05000000000000001,3.800588715305073e-18,0.0
53,LR,20,1000,0.47282533333333276,7.794899081272788e-05,0.0
54,LOCART,20,5000,0.03586933333333344,0.0003670652505656702,37.666666666666664
55,LOFOREST,20,5000,0.0368533333333334,0.00032078868703305904,37.666666666666664
56,tuned LOFOREST,20,5000,0.033268000000000124,0.0002307434117674296,37.666666666666664
57,boosting,20,5000,0.07325999999999969,0.002128004332570852,37.666666666666664
58,monte-carlo,20,5000,0.03924400000000021,0.00018983413873814304,37.666666666666664
59,LR,20,5000,0.47302533333333235,6.861317537754171e-05,37.666666666666664
60,LOCART,20,10000,0.03336933333333344,0.00027733257181756734,31.333333333333332
61,LOFOREST,20,10000,0.03207200000000015,0.00019634996957331065,31.333333333333332
62,tuned LOFOREST,20,10000,0.03125866666666681,0.00015699856328141236,31.333333333333332
63,boosting,20,10000,0.0625333333333329,0.0017748580286769066,31.333333333333332
64,monte-carlo,20,10000,0.03523466666666689,0.0002212831597154749,31.333333333333332
65,LR,20,10000,0.47247866666666666,6.678938285800085e-05,31.333333333333332
66,LOCART,20,15000,0.03158933333333345,0.00025218654027257223,35.0
67,LOFOREST,20,15000,0.030814666666666792,0.00014592807270464393,35.0
68,tuned LOFOREST,20,15000,0.030490666666666784,0.00012094192300745228,35.0
69,boosting,20,15000,0.07409599999999979,0.002333860628405869,35.0
70,monte-carlo,20,15000,0.031272000000000175,0.00019443309782767238,35.0
71,LR,20,15000,0.4727493333333333,9.063251390164062e-05,35.0
72,LOCART,50,1000,0.044445333333333344,0.00015230607714665387,10.666666666666666
73,LOFOREST,50,1000,0.053246666666666755,0.0005774717469297143,10.666666666666666
74,tuned LOFOREST,50,1000,0.05324266666666677,0.0003956531772170858,10.666666666666666
75,boosting,50,1000,0.05043466666666668,0.0008049605375395005,10.666666666666666
76,monte-carlo,50,1000,0.05000000000000001,3.800588715305073e-18,10.666666666666666
77,LR,50,1000,0.27449466666666716,7.888956118650205e-05,10.666666666666666
78,LOCART,50,5000,0.03130266666666662,0.0007197363597793815,52.0
79,LOFOREST,50,5000,0.03065199999999995,0.0005825174030357386,52.0
80,tuned LOFOREST,50,5000,0.030151999999999977,0.0005919670986297126,52.0
81,boosting,50,5000,0.039950666666666676,0.00031609734823909267,52.0
82,monte-carlo,50,5000,0.026834666666666774,0.00012779471939218203,52.0
83,LR,50,5000,0.2743013333333335,7.76170194734075e-05,52.0
84,LOCART,50,10000,0.02358266666666677,0.0003542721976921312,35.166666666666664
