,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.061366666666667034,0.0026574145485256874,17.833333333333332
1,LOFOREST,1,1000,0.0588933333333337,0.003537624224345303,17.833333333333332
2,tuned LOFOREST,1,1000,0.056063333333333694,0.0031340410348670096,17.833333333333332
3,boosting,1,1000,0.08656333333333333,0.0009745946512044764,17.833333333333332
4,monte-carlo,1,1000,0.1521199999999986,0.00221960578600514,17.833333333333332
5,LR,1,1000,0.3792700000000001,0.0001101113465632687,17.833333333333332
6,LOCART,1,5000,0.04957000000000008,0.000590853852749255,50.166666666666664
7,LOFOREST,1,5000,0.035656666666666774,0.0004869247755424222,50.166666666666664
8,tuned LOFOREST,1,5000,0.03552666666666677,0.0004748920956060841,50.166666666666664
9,boosting,1,5000,0.0811233333333333,0.00032845455555027375,50.166666666666664
10,monte-carlo,1,5000,0.06202333333333364,0.0010154902434626844,50.166666666666664
11,LR,1,5000,0.3784333333333335,0.00011108392259946088,50.166666666666664
12,LOCART,1,10000,0.033990000000000055,0.0006122634576420412,56.333333333333336
13,LOFOREST,1,10000,0.03561333333333345,0.0003572518771171221,56.333333333333336
14,tuned LOFOREST,1,10000,0.03481333333333344,0.0003567225063015542,56.333333333333336
15,boosting,1,10000,0.07828999999999998,0.0005019918617050534,56.333333333333336
16,monte-carlo,1,10000,0.043623333333333555,0.0003111670088672805,56.333333333333336
17,LR,1,10000,0.3789733333333334,0.0001251506433826644,56.333333333333336
18,LOCART,1,15000,0.04524000000000011,0.0006383004082022158,64.33333333333333
19,LOFOREST,1,15000,0.03291666666666671,0.00035015875529460815,64.33333333333333
20,tuned LOFOREST,1,15000,0.03219666666666671,0.0003376435552033748,64.33333333333333
21,boosting,1,15000,0.07412333333333332,0.0003620055157254331,64.33333333333333
22,monte-carlo,1,15000,0.03620000000000009,0.0002346497863246926,64.33333333333333
23,LR,1,15000,0.3785033333333334,0.00012052331195366694,64.33333333333333
24,LOCART,10,1000,0.028653333333333333,0.0006019279795727993,78.5
25,LOFOREST,10,1000,0.030279999999999956,0.00046429225266503716,78.5
26,tuned LOFOREST,10,1000,0.029743333333333302,0.0004652170434655908,78.5
27,boosting,10,1000,0.03190666666666663,0.0008511665538947923,78.5
28,monte-carlo,10,1000,0.04505000000000002,0.00042162794239791615,78.5
29,LR,10,1000,0.05160666666666667,6.325752447963891e-05,78.5
30,LOCART,10,5000,0.019946666666666668,0.00026023062342133167,61.166666666666664
31,LOFOREST,10,5000,0.018606666666666667,0.0002788750542532863,61.166666666666664
32,tuned LOFOREST,10,5000,0.017053333333333337,0.0002475063485904805,61.166666666666664
33,boosting,10,5000,0.018393333333333317,0.0005068389655867404,61.166666666666664
34,monte-carlo,10,5000,0.02572333333333333,0.0003373014087269978,61.166666666666664
35,LR,10,5000,0.050696666666666654,7.549538998816345e-05,61.166666666666664
36,LOCART,10,10000,0.018529999999999977,0.000325821405799812,43.166666666666664
37,LOFOREST,10,10000,0.015016666666666654,0.00025616061705187044,43.166666666666664
38,tuned LOFOREST,10,10000,0.01467333333333332,0.00023008392099316364,43.166666666666664
39,boosting,10,10000,0.016463333333333312,0.00034113560353618956,43.166666666666664
40,monte-carlo,10,10000,0.019396666666666628,0.0002537368586067806,43.166666666666664
41,LR,10,10000,0.05139666666666665,4.961219566646727e-05,43.166666666666664
42,LOCART,10,15000,0.016119999999999985,0.0003913860928323229,42.833333333333336
43,LOFOREST,10,15000,0.013449999999999988,0.0001642002303221893,42.833333333333336
44,tuned LOFOREST,10,15000,0.013229999999999976,0.00012355760223458078,42.833333333333336
45,boosting,10,15000,0.012073333333333306,0.0002836590546047482,42.833333333333336
46,monte-carlo,10,15000,0.019256666666666658,0.00021429948660425582,42.833333333333336
47,LR,10,15000,0.051139999999999984,6.0939655100650064e-05,42.833333333333336
48,LOCART,20,1000,0.02953333333333334,0.0003963788124546566,85.16666666666667
49,LOFOREST,20,1000,0.03702000000000006,0.00048524035875153494,85.16666666666667
50,tuned LOFOREST,20,1000,0.03653666666666674,0.00047626118469741504,85.16666666666667
51,boosting,20,1000,0.03467999999999993,0.0009178499245250372,85.16666666666667
52,monte-carlo,20,1000,0.03738333333333335,0.0007087971553324764,85.16666666666667
53,LR,20,1000,0.055643333333333586,4.50956961438614e-05,85.16666666666667
54,LOCART,20,5000,0.019193333333333337,0.00035919177048415003,53.166666666666664
55,LOFOREST,20,5000,0.014666666666666682,0.00037031643736945856,53.166666666666664
56,tuned LOFOREST,20,5000,0.014149999999999989,0.00030502801665830976,53.166666666666664
57,boosting,20,5000,0.017126666666666665,0.00038006460572743403,53.166666666666664
58,monte-carlo,20,5000,0.02684333333333333,0.0002986899165608782,53.166666666666664
59,LR,20,5000,0.05576666666666694,4.0376234708280285e-05,53.166666666666664
60,LOCART,20,10000,0.03105333333333336,0.0007038790782443571,35.166666666666664
61,LOFOREST,20,10000,0.015773333333333344,0.00022026068076193617,35.166666666666664
62,tuned LOFOREST,20,10000,0.014250000000000007,0.00013343974303248665,35.166666666666664
63,boosting,20,10000,0.0140133333333333,0.00024194575115520767,35.166666666666664
64,monte-carlo,20,10000,0.02055,0.0001971740097565003,35.166666666666664
65,LR,20,10000,0.0559733333333336,4.050077985328539e-05,35.166666666666664
66,LOCART,20,15000,0.01421,0.0007370611839521124,31.0
67,LOFOREST,20,15000,0.015099999999999983,0.00020128417047535245,31.0
68,tuned LOFOREST,20,15000,0.01428333333333333,0.00017182537431723868,31.0
69,boosting,20,15000,0.01272666666666664,0.0001562921396673891,31.0
70,monte-carlo,20,15000,0.01994333333333328,0.00016809519153038706,31.0
71,LR,20,15000,0.0557333333333336,4.102084183705407e-05,31.0
72,LOCART,50,1000,0.044803333333333376,0.0003507696822116295,86.83333333333333
73,LOFOREST,50,1000,0.0510966666666667,0.0005264714531164161,86.83333333333333
74,tuned LOFOREST,50,1000,0.05074000000000004,0.0005151791633697727,86.83333333333333
75,boosting,50,1000,0.045013333333333364,0.0006568811155757204,86.83333333333333
76,monte-carlo,50,1000,0.05369000000000006,8.6174492803131e-05,86.83333333333333
77,LR,50,1000,0.05619333333333373,3.7967979794979665e-05,86.83333333333333
78,LOCART,50,5000,0.0449833333333334,0.00017519687221215493,39.833333333333336
79,LOFOREST,50,5000,0.04493333333333341,0.00020418179686945467,39.833333333333336
80,tuned LOFOREST,50,5000,0.04496333333333341,0.00019858751115938095,39.833333333333336
81,boosting,50,5000,0.04188333333333339,0.0003040097525238818,39.833333333333336
82,monte-carlo,50,5000,0.04465666666666675,0.00010720340460474035,39.833333333333336
83,LR,50,5000,0.056223333333333736,4.1688655926065346e-05,39.833333333333336
84,LOCART,50,10000,0.04215666666666676,0.000265795831945942,44.833333333333336
85,LOFOREST,50,10000,0.041050000000000086,0.00014420191034276154,44.833333333333336
86,tuned LOFOREST,50,10000,0.040523333333333425,0.00014780398124687933,44.833333333333336
87,boosting,50,10000,0.041300000000000066,0.00016829412329061536,44.833333333333336
88,monte-carlo,50,10000,0.04436333333333342,6.409439091295024e-05,44.833333333333336
89,LR,50,10000,0.056316666666667056,4.4461853072053745e-05,44.833333333333336
90,LOCART,50,15000,0.04175333333333337,0.0008143948405893793,57.666666666666664
91,LOFOREST,50,15000,0.04235000000000004,6.793231017293628e-05,57.666666666666664
92,tuned LOFOREST,50,15000,0.042180000000000044,7.612950845508734e-05,57.666666666666664
93,boosting,50,15000,0.04139666666666671,0.0001294379047783747,57.666666666666664
94,monte-carlo,50,15000,0.04222000000000003,0.00016815832364381987,57.666666666666664
95,LR,50,15000,0.05615666666666705,5.12954967179302e-05,57.666666666666664
96,LOCART,100,1000,0.05250333333333366,0.00044013083726259324,80.33333333333333
97,LOFOREST,100,1000,0.05594666666666704,0.0006297037218932954,80.33333333333333
98,tuned LOFOREST,100,1000,0.055780000000000385,0.0006003227626382128,80.33333333333333
99,boosting,100,1000,0.04850666666666693,0.000548492422791867,80.33333333333333
100,monte-carlo,100,1000,0.05199000000000032,8.431517639899487e-05,80.33333333333333
101,LR,100,1000,0.056026666666667044,4.4600028603582474e-05,80.33333333333333
102,LOCART,100,5000,0.047823333333333586,0.00014205736394219887,55.833333333333336
103,LOFOREST,100,5000,0.048706666666666946,0.00010888531551204145,55.833333333333336
104,tuned LOFOREST,100,5000,0.04836000000000028,0.00010421851252973181,55.833333333333336
105,boosting,100,5000,0.045646666666666884,0.00020316966596597484,55.833333333333336
106,monte-carlo,100,5000,0.04867333333333361,2.8799469873950793e-05,55.833333333333336
107,LR,100,5000,0.05619333333333373,4.793712016498331e-05,55.833333333333336
108,LOCART,100,10000,0.04713000000000025,0.00010185622078172016,49.333333333333336
109,LOFOREST,100,10000,0.04656666666666691,8.376575215783697e-05,49.333333333333336
110,tuned LOFOREST,100,10000,0.04653333333333357,8.624443442411862e-05,49.333333333333336
111,boosting,100,10000,0.04652000000000023,0.00014957567004683468,49.333333333333336
112,monte-carlo,100,10000,0.04822000000000027,8.787799248837088e-05,49.333333333333336
113,LR,100,10000,0.056460000000000385,4.140195418938131e-05,49.333333333333336
114,LOCART,100,15000,0.046170000000000225,0.00028882638996306727,49.166666666666664
115,LOFOREST,100,15000,0.046703333333333576,7.974796719418701e-05,49.166666666666664
116,tuned LOFOREST,100,15000,0.04635666666666691,7.332426711633969e-05,49.166666666666664
117,boosting,100,15000,0.046056666666666884,9.120542543966287e-05,49.166666666666664
118,monte-carlo,100,15000,0.04680000000000024,4.123090155209324e-05,49.166666666666664
119,LR,100,15000,0.05577666666666704,4.6577533926419575e-05,49.166666666666664
