,methods,N,B,MAE,se,K_tuned
0,LOCART,1,1000,0.06070040000000165,0.0021078838742408157,47.6
1,LOFOREST,1,1000,0.09055040000000117,0.0025663755576695495,47.6
2,tuned LOFOREST,1,1000,0.09055040000000117,0.002796545865427963,47.6
3,boosting,1,1000,0.0958800000000004,0.0014997290647687006,47.6
4,monte-carlo,1,1000,0.04684799999999838,4.5665434105019005e-05,47.6
5,LR,1,1000,0.23320920000000292,2.2335696301657763e-05,47.6
6,LOCART,1,5000,0.061102800000000186,0.0007590047198049261,61.8
7,LOFOREST,1,5000,0.046582399999999434,0.00021498270886822398,61.8
8,tuned LOFOREST,1,5000,0.0459835999999995,0.0001906163193483505,61.8
9,boosting,1,5000,0.10410720000000004,0.0015633156843683246,61.8
10,monte-carlo,1,5000,0.10118600000000222,0.0002039904755863176,61.8
11,LR,1,5000,0.2330272000000029,2.672805301402021e-05,61.8
12,LOCART,1,10000,0.05947480000000032,0.000441351142153654,77.8
13,LOFOREST,1,10000,0.039869599999999575,0.00022476004470261393,77.8
14,tuned LOFOREST,1,10000,0.037368799999999695,0.00024993372481903995,77.8
15,boosting,1,10000,0.06436039999999983,0.0016136248867732721,77.8
16,monte-carlo,1,10000,0.10825160000000132,0.0002803981844483291,77.8
17,LR,1,10000,0.232903600000003,2.18866255708838e-05,77.8
18,LOCART,1,15000,0.05843000000000026,0.0006551228531871095,87.4
19,LOFOREST,1,15000,0.03599279999999953,0.0001604138712645513,87.4
20,tuned LOFOREST,1,15000,0.03272519999999975,0.00024360582624494088,87.4
21,boosting,1,15000,0.06341800000000006,0.0014744411067537048,87.4
22,monte-carlo,1,15000,0.09239560000000065,0.00020244957637574978,87.4
23,LR,1,15000,0.23325560000000342,2.4148120549646843e-05,87.4
24,LOCART,10,1000,0.033884799999999694,0.001992281061707914,76.6
25,LOFOREST,10,1000,0.04790639999999958,0.0010898964794062455,76.6
26,tuned LOFOREST,10,1000,0.047308799999999596,0.0013769942586159102,76.6
